Beer_ID,Beer_Name,Brewery_ID,ABV,IBU,Description,No_of_Ratings,Style,Overall_Rating
1320263,Alambique County (2015),5439,11.5,40,Wood aged Black Tripel - Cerveja produzida através de uma parceria entre a Cervejaria Wäls e a Goose Island. Black Trippel com Bananas Passas e Castanha de Baru (típica do cerrado Mineiro) e maturada por 5 meses em barris de carvalho que antes foram utilizados para maturar cachaça mineira,2,['Belgian Tripel'],4.088
1379969,G de Goudale Grand Cru Fantasia,1439,7.9,30,"Bière blonde à l'ancienne. 

Née de l'association d'un houblonnage à cru et de l'utilisation d'une variété exceptionnelle de houblon, La Goudale Grand Cru offre une robe d'or et une bouche fruitée.

L'amertume des houblons des flandres s'équilibre parfaitement avec la rondeur apportée par le Houblon Fantasia.

Grande bière de dégustation, La Goudale Grand Cru vous rêvèlera tous ses arômes servie dans un verre à bords fis entre 7 et 8 ℃.

www.lagoudale.com",1,['Bi\xc3\xa8Re De Garde'],3.17
1463964,Derivation (Blend 5),64810,0,0,,1,"['Stout - Imperial', 'Double']",4.755
1445747,Featherwalker,11094,6,0,,1,"['Saison', 'Farmhouse Ale']",3.974
1383533,BBH With Chocolate,14665,12.5,85,BBH with Chocolate added,1,"['Porter - Imperial', 'Double']",4.321
256864,Prairie Gold,37713,7,25,"Prairie Gold is a dry, highly effervescent saison fermented with a mix of ale yeast, wine yeast, lactobacillus and 2 strains of brettanomyces. This beer highlights the various yeasts and bacteria used to make it. Lemon, pear, white wine grapes, and a touch of funk dominate the flavor and aroma in this champagne like beer.",1,['Sour Ale'],3.881
1204986,Farm To Face (2015),24,5.7,0,"FARM TO FACE was brewed as a pale ale and fermeneted in stainless with our house yeast. After primary fermentation, pediococcus and lactobacillus were added along with 3lbs of peaches per gallon (from Applecrest Farms in New Hampshire). Ten months later, the finished beer is bright amber in color with peach, graham cracker and green apple in the aromas. Drinking this medium bodied beer is like biting into a juicy peach with tartness throughout. The finish has a long lasting peachyness.",1,['American Wild Ale'],4.372
102504,Kessog Dark Ale,18792,5.2,0,,1,['Dark Ale'],3.539
1027940,Stokholmas Sindroms,91289,6.3,0,Chili cacao porter,1,['Porter - Other'],3.847
892416,Breakfast of Champions,126094,6.5,23,"Want to take a nice amber ale and throw in some bacon?  Let’s go for it.  How about some chipotle peppers too?  Why not?  We call it Breakfast of Champions.
",1,['Smoked Beer'],3.468
997761,Hedgerow Barrel Aged Sour,7020,6.6,0,"The Hedgerow 2014, aged in barrels.",1,['Sour Ale'],3.763
88152,US Red Ale,4099,6,0,,1,"['Red Ale - American Amber', 'Red']",3.34
31548,Imperial Stout,1857,10.2,100,"Moa Imperial Stout is a very strong, upfront and rich beer hopped to over 100 IBUs. Aged with French oak, this beer not only displays coffee, mocha and smoked cedar characters but also some sweet and savoury notes unique to Moa Imperial Stout. A great beer to cellar and age.",1,"['Stout - Imperial', 'Double']",3.794
1212436,Space Ace Robot Doctor,2029,4.8,59,"Is he a man who operates on robots or is he a robot who operates on man? Is he
actually a she? Are robots anatomically correct? None of that is actually important
despite the obnoxious amount of time we have spent discussing it at the brewery the
past few months. What is important is that right now you have the opportunity to have
the next out of this world one-off from O’so Brewing Company on tap in your
establishment. Space Ace Robot Doctor is a Session White IPA, a style that does not
exist on this planet, which is why we feel that here on earth it would be better described
as a Belgo-American Style Imperial Table Wit. It is a low abv wit beer hopped to IPA
standards with Orbit and Sorachi Ace hops. Throw healthy doses of orange peel, lemon
peel, and a smidgeon of coriander in the whirlpool and you can expect zesty lemons
with restrained Belgian esters of bubblegum on the nose. These descriptors ring true to
the flavor of the beer as well, and a large portion of red wheat in the grain bill imparts
significant body with nourishing qualities to this sessionable crusher. Finishing balanced
and true to this made up style, make sure you order it by its full name. Ace didn’t spend
7 years in robot medical school to just be called a robot.
",1,['Ipa - White'],3.244
1370061,Saisanja,81749,4.2,14,"A session saison made with Vermont grown malt, hops and hemp. Our collaboration with The Vermont Hemp Company supports remediation of the Lake Champlain water basin. Earth and citrus hemp notes compliment the spice and fruitiness of our saison yeast. This beer starts bright, smooth and fruity with dank undertones of earth. Finishes crisp with a lingering cannabacious funk. Best enjoyed with comfort food and reggae.",1,"['Saison', 'Farmhouse Ale']",3.553
11621,Mongozo Banana,11855,3.6,0,,1,['Fruit Beer'],2.822
1309751,APA,150957,5,0,,1,['Pale Ale - American'],3.636
1092950,4c AIPA,95242,6.8,60,"Dry hops: Cascade, Chinook, Citra, Columbus",1,['Ipa - American'],4.093
462937,IJsbok Hout,8291,9,32,"Source of inspiration for this beer is the Nova Zembla travelogue ""To the North"" by Gerrit de Veer in 1597. The report describes how the ship's crew to their surprise discovered that deep in a frozen keg liquid was left, which tasted great. All the power of the beer had been concentrated in that little bit liquid beer. SNAB has succeeded with its ""IJSBOK"" to mimic this process. IJsbok Hout (Wood) brings Nova Zembla even more closely. Lagering with American Oak creates a light roasted character and subtle presence of caramel and vanilla. ",1,['Eisbock'],3.812
400051,Flowerpots IPA,10192,6,0,"Traditional IPA, brewed with Simcoe hops",1,['Ipa - English'],3.655
1198311,There Will Be Braggot,79438,6.3,40,"Brewed with collaboration with Black Heath Meadery, this beer is 45% wildflower honey which provides a great floral fragrance. The Belgian yeast gives it a farmhouse-like tart fruit profile. Light to medium bodied this very unique brew is perfect to finish off the summer with!",1,['Braggot'],3.49
1450154,Barrel Aged Hammered Satin,135321,10,0,"We've aged our silky, decadent, and drinkable double oatmeal stout for 6 months in a Buffalo Trace Whiskey barrel. In addition to big body, dark chocolate, and oatmeal cookies, the oak has contributed added flavors of coconut, cookie crisp cereal, and integrated wood.",1,['Stout - Imperial Oatmeal'],4.362
1103796,Charlies Cool Porter,2681,5.9,0,,1,['Porter - Other'],3.461
366006,Célébrante,17022,7,0,"La Célébrante est une ale blonde à 7 % d'alcool fermentée aux levures de champagne. Elle a été conçue pour vous accompagner autant dans les moments importants de votre vie que lors de bons repas entre amis. Peu amère et avec des notes douces légèrement mielleuses, elle regorge de saveurs subtiles de fleurs sauvages, d’orange, de citron, de pêche et de poire dès le premier pétillement dans votre bouche. Lors de moments à souligner, La Célébrante saura vous délecter.",1,"['Bi\xc3\xa8Re De Champagne', 'Bi\xc3\xa8Re Brut']",3.544
107477,Zuster Agatha,20031,10,30,"Prachtige quadrupel, vol van smaak en relatief droog in afdronk. In september 2015 uitgeroepen tot Lekkerste Bier van Brabant.",2,['Belgian Quad'],3.638
1344918,Alto Porto Imperial Porter,240491,7.2,30,"A malt forward brew that is heavily dominated with notes of chocolate, caramel, and hints of coffee. Brewed with 2 row pale malt, dark Munich, crystal 80 and chocolate malt. A small dose of Kent Golding and Fuggle hops keeps the sweetness in check.",1,"['Porter - Imperial', 'Double']",3.798
727967,Wit,29181,5.3,16,"The first beer in the Santa Monica Brew Works series. 
  Our Witbier pours a hazy yellow with a thin white head.  The delicate body and effervescent carbonation combine with floral, fruity and spicy notes that are complimented by a biscuity malt backbone.  

Slightly tart and thirst quenching - this beer is the perfect Southern California summer beer.  ",1,['Witbier'],3.52
111724,Nosie's Oatmeal Stout,14011,0,0,,1,['Stout - Oatmeal'],3.491
1123410,Marks & Spencer Styrian Goldings Amber Ale,931,5.2,0,,2,"['Red Ale - American Amber', 'Red']",3.337
828748,Mariestads Dunkel,1505,5.8,0,,1,['Lager - Dunkel Munich'],3.016
1393812,Bourbon Barrel Aged Imperial Stout,143698,10,70,,1,"['Stout - Imperial', 'Double']",4.141
821420,100 Million Angels Singing,134551,9,100,"A bold and assertive Imperial India Pale Ale, brewed and dry-hopped with copious amounts of American-grown hops.",1,"['Ipa - Imperial', 'Double']",3.917
289450,Kowacchy,36117,6.8,0,,1,"['Pumpkin', 'Yam Beer']",3.238
1409427,Pale Ale,222863,4.2,0,,1,['Pale Ale - English'],0
940383,A La Americana,135011,5.4,30,American Wheat with bitter orange peels from the island of Hvar.,1,['Pale Wheat Ale - American'],3.615
28973,La Géante,1439,7.4,30,Previously brewed by Grain d'Orge.,1,['Bi\xc3\xa8Re De Garde'],3.387
547346,Bon Secours Blonde,3359,8,23,This is the Caulier brewery’s flagship beer. Bon Secours Blonde (8%) takes on a beautiful golden-blonde colour covered by a creamy collar of froth. The nose detects amazingly spicy aromas. The taste of this fully saturated beer is robust but refreshing at the same time.,1,"['Blonde Ale - Belgian Blonde', 'Golden']",3.368
1114882,Hopper Citra,34772,6.3,50,,1,['Ipa - American'],3.863
1239343,Witching Hour IPA,2585,7,0,,1,"['Ipa - Black', 'Cascadian Dark Ale']",3.527
21695,Blue Girl,6167,5,0,,1,['Lager - Pale'],2.457
126090,MacLean's Pale Ale,12347,5.2,35,"Our signature Ale with a unique combination of British malts, English Fuggles and Golding Hops. Well hopped malty ale.",1,['Pale Ale - English'],3.429
1453183,Wheat Purple,1513,4.2,25,Blackberry Wheat Beer,1,['Hefeweizen'],3.375
1428964,Ascension,217317,5,0,,1,['American Wild Ale'],4.457
1368297,Esimies,34204,6,0,"Ruosniemen Panimon Esimies ESB on perinteinen, maltainen ja hedelmäinen brittiolut. Esimieheksi ei synnytä, Esimieheksi kasvetaan kovan työn tuloksena: sekoittamalla keskenään Pale Ale ja Crystal -maltaita, Magnum ja East Kent Golding -humalaa, brittiläistä hiivaa sekä porilaista vettä. Hyvän Esimiehen tunnistaa terveen punaruskeasta väristä sekä hedelmäisestä ja humalaisesta tuoksusta.",1,"['Extra Special', 'Strong Bitter']",3.14
830816,Pumpkin Pie Lust,907,5.5,0,"It is a fact that Dan, our New Glarus Brewmaster, loves pumpkin pie. So it was inevitable that one day beer and pie would collide. No holiday is complete at our home without home baked pumpkin pie. Just as Dan once baked this pie for Deb, he now creates this brew for you. 

First, Wisconsin grown wheat simmers with German Munich Malt. Then he thoroughly stirs in Idaho grown Celeia Hops. Fresh Bavarian Weizen yeast is then ladled into the open top fermentors and a final bottle conditioning makes this beer 100% naturally carbonated. This rich brown Weiss beer pours an elegant spicy nose with a thick creamy head. This Pumpkin Weiss is sure to satisfy your soul’s Pie Lust. ",1,"['Pumpkin', 'Yam Beer']",3.454
541248,Oatmeal Stout,1182,8.5,0,"A full-bodied stout that gets its smoothness from the oat addition. The oats also give the stout a nice sweetness that makes this stout easy drinking.
",1,['Stout - Oatmeal'],3.743
600150,H.L. Rex,30322,3.7,30,"As one king falls, another takes his throne. The aromatic reign of Humulus Lupulus (hops) is supported in every sip by resounding and victorious malt flavors. Unlike the intense and aggressive monuments to the prior Rex, this veritable Hop King is upheld by a delightfully textured throne and serves as a beacon to those seeking a balance worthy of prolonged sessions. Raise a glass. All hail HL Rex.",1,"['Ipa - Session', 'India Session Ale']",3.252
526280,Back Home Gingerbread Stout,16302,8.5,45,"A velvety medium-bodied brew at 8.5% ABV, Back Home Gingerbread Stout is brewed with fresh ginger and a balanced blend of secret spices. Notes of cinnamon, nutmeg, candied orange peel and vanilla dance with rich chocolate malt for a festive holiday treat. Hops: Bravo and Northern Brewer. Malts: 2-Row, Crystal 160, Pale Chocolate, Carafa, Roast Barley. IBU: 45.",1,"['Stout - Imperial', 'Double']",3.787
381022,Only Void (Rye Whiskey Barrel),6226,13,0,"Only Void aged in local Rye Whiskey barrels, Released 6/2013",1,['Stout - Russian Imperial'],4.034
1278357,Orange Gose,223639,4.1,4,"If you find yourself in the open sea for an extended period of time, you are going to need to ward off thirst and scurvy. This Orange Gose will do both. Enjoy the salty zing wherever the wind takes you.",1,['Gose'],4.017
1217729,Hofbräu Red Lager,5566,6.5,60,,1,"['Lager - American Amber', 'Red']",3.545
69037,Jacobus Rye Pale Ale,620,5.3,45,"The Jopenkerk is officially called Jacobskerk (St. James Church). The church was inaugurated on 16 July 1911. To not let the 100th
anniversary of the church go unnoticed, we have brewed a beer called Jopen Jacobus RPA. Jacobus (James) is the patron saint of pilgrims, recognizable by the scallop shell – also known as St.
James’s Shell. In the past, these pilgrims spent the night in guest houses along the route of their
journey. Because of these visitors, these guest houses had a special arrangement with the tax authorities: they were exempt from excise duty as long as they brewed with rye. Hence we have chosen to make Jacobus beer a rye beer: a Rye Pale Ale.
5.3% alcohol and a generous handful of hops ensure a spicy, dry and full-flavoured hopped quaffer
with an amber colour. Imagine a light version of an IPA.
- Silver medal at World Beer Awards 2014
- World’s Best Gold, World Beer Awards 2013
- Bronze Award, World Beer Cup 2013
- Winner Bronze Medal World Beer Cup 2012
- Best new beer of 2011",1,"['Rye Beer', 'Rye Ipa']",3.461
393740,IPA,68237,5.1,0,"A bright and truly hoppy San Diego IP. Citrusy with pine undertones, it's focused on drinkability rather than bitterness. It pairs nicely with a burger, creamy cheese, or an afternoon on the trail. At only 5.1% ABV it's an easy drinker.",1,"['Ipa - Session', 'India Session Ale']",3.547
1319597,Thin Mint Stout,49016,7,0,2015 FSB Holiday Ale & Member Homebrew competition winning recipe from Jim Witmer & Niall Foster.,1,['Stout - American'],4.058
362392,Xyauyù Barrel,128,14,13,"Xyauyù Barrel is the result of a “wicked idea” of Teo’s and years of research. It is a top-fermented beer which has gone through macrooxidation and has been aged in oak rum barrels to give it scents of dates, caramel and a delicate wooden note. When poured, it has no head and no gas; it has a dark color with copper nuances.

Alcohol content: 14%
Sugar density of the wort: Plato degrees 36
Color: EBC 40
Bitterness units: IBU 13
Serving temperature: 12/14°C

XYAUYÙ BARREL, is excellent with chocolate and drink slowly after a meal.",1,['Barleywine - English'],4.374
1344277,The Abyss (2015),441,12.2,70,"A deep, dark Imperial Stout, The Abyss has almost immeasurable depth and complexity. Hints of molasses, licorice and other alluring flavors make it something not just to quaff, but contemplate. Brewed with Blackstrap Molasses, Brewer’s Licorice, Vanilla Beans, & Cherry Bark. 50% barrel aged in bourbon, Oregon oak, and Pinot Noir casks.",2,"['Stout - Imperial', 'Double']",4.272
416,2° Below Winter Ale,905,6.6,0,"Pull on your wool socks and crack open a 2° Below Ale. This tasty winter warmer started life as a small batch beer brewed for the Al Johnson Uphill Downhill a telemark ski race in Crested Butte, Colorado. The Uphill Downhill celebrates the exploits of Al Johnson, letter carrier extraordinaire, who delivered mail by ski in the late 1800's.",1,['Winter Ale'],3.484
1192237,White Ale,219305,5,12,"When Willem Barentsz attempted to navigate the Northeast passage, his crew fought twin terrors: polar bears and frozen beer. Our White Ale, with its refreshing fruity notes, is a tribute to the restless and rugged spirit that kept Barentsz going.

Brewed with: curacao orange, elderflower and chamomile

Taste: refreshing & crisp with a fruity, flower finish

 ",1,['Witbier'],3.291
410,Brother Thelonious,919,9.4,32,"Like a Belgian ""Dark Strong Ale,"" this beer is rich and robust with an ABV of 9.3%. The package features a label picturing the Jazz master himself, and comes in either a 375 or 750 ml bottle with a traditional cork and wire finish, or 12 oz. 4-packs.",1,['Belgian Strong Dark Ale'],3.87
100449,La Bouillonnaise,14908,7,0,,1,['Brown Ale - Belgian'],3.195
1131558,Herzblut Liebe Im Kornfeld,6810,5.5,0,,1,['Specialty Grain'],3.333
24847,Pepe Nero,2898,6.4,30,"With an aroma of roasted chestnuts and a mysteriously dark, mahogany hue, Pepe Nero is a farmhouse ale brewed with black peppercorns. His roasty sweetness melds into a lingering, earthy, black pepper finish that is ideal for pairing with grilled meats and roasted vegetables.",1,"['Saison', 'Farmhouse Ale']",3.613
414,Hibernation Ale,604,8.7,0,"Hibernation Ale has been our celebrated winter tradition since 1995. This robust, dry-hopped ale has a malty richness balanced with a complex hop profile and hearty, warming character.",1,['Old Ale'],3.65
586773,Jack Brand Mosaic Pale Ale,11,4.1,0,"The Mosaic hop variety was released in 2012 after a successful crossing of two hop varieties called Simcoe and Nugget which captured the best of these varieties to provide clean bitterness and outstanding flavours and aromas. Mosaic hops are similar to Citra, but has an even more intense flavour.

Fergus and the team added the Mosiac hops at three stages during the boil, and once again during fermentation. This has imparted bold hop characters of peach, mango, lemon and pine. All these lovely flavours are complemented by pale ale malt, lager malt and a touch of light cara malt to gently balance the beer whilst allowing the fruity hop flavours to shine through.

The result is a blonde beer with a dry, hoppy finish and bags of Mosaic personality.

Available in cask, with 330ml bottles and keg to follow in late March 2014.",1,['Pale Ale - English'],3.429
1299271,Hop Grenade IPA,12766,6.3,0,,1,['Ipa - American'],3.828
179290,Full Sail,24142,5.8,45,,1,['Ipa - American'],3.733
1379551,Collaboration Without Representation (2016),20959,12.8,18,"Bourbon Barrel aged Imperial Chocolate Milk Stout with Coffee.

Brewed in Collaboration with Bottle Revolution.",1,"['Stout - American Imperial', 'Double']",4.496
1238151,Tropical Fantasy,44115,5,0,"Tropical, seems like Crank's cousin.",1,['Ipa - American'],3.828
92892,Mönchshof Weihnachtsbier,757,5.6,0,,1,['Lager - Winter'],3.128
586690,Hakuna Matata,67113,6.5,72,"A perfectly balanced IPA with a light malt body, tropical flavors and a hoppy aroma.",1,['Ipa - International'],3.667
288008,Montucky Cold Snack,50154,3.9,0,,1,['Lager - North American Adjunct'],2.893
1445818,Sela-bration,71828,4.8,0,,1,['Pale Ale - English'],0
109351,La Turbine,2007,5,0,,1,['Pale Ale - American'],3.278
1207289,Honey Butter,43025,0,0,,1,"['Stout - Milk', 'Sweet']",3.975
155693,Mooie Nel IPA / Northsea IPA,620,6.5,70,"Jopen Northsea IPA is an IPA (India Pale Ale) or, in old Dutch, a ‘Duraebel Scheepsbier’. These beers
were extra strongly brewed and extra hopped so that they could be taken along on the long sea voyages to the Dutch East Indies (current-day Indonesia). Nowadays this type of beer is making a comeback because American brewers have breathed new life into this brewing style. This hoppy
amber beer is named after the lake between the towns of Spaarndam and Haarlem, the Mooie Nel (literally: Beautiful Nel). The beer has received an extra hop addition to the tank after fermentation to give it a clear hop character. Silver medal winner Brussels beer Challenge 2014.",3,['Ipa - American'],3.705
28449,Baroona Original Pale Ale,7757,4.7,0,,1,['Pilsner - German'],3.253
4537,Double Crooked Tree IPA,426,12,98,"Have you read the description for the regular Crooked Tree yet? Well this beer is almost the same just double the flavor and alcohol. We actually took the Crooked Tree recipe and doubled all of the ingredients except the water, just the way a DOUBLE should be made. Big hops balanced with tons of malt give this beer a huge body. Although this beer is as cool as ""The Fonz""  when first purchased, it gets really mellow and smooth with some age. After a year or two stored in a cool dark place you'll notice the heavy caramel and malt flavors are trying to sneak past the hops. This beer is hugely delicious so it will need your undivided attention (the chores can wait....trust us).",2,"['Ipa - Imperial', 'Double']",4.063
1317257,Щедрин Сухой (Dry),196811,6,0,,1,['Cider'],3.617
865808,Dodo,18058,5,30,"Dodo is developed together with the Ceintuurtheater in Amsterdam to be served as their housebeer. It is a California Common (aka Steambeer) which means it is fermented with bottom fermenting yeast at elevated temperature. This results in a beer with the drinkability of a lager, but with a bit more body, like an ale. Brewed with some caramel malts and single hopped with Cascade hops.",1,['California Common'],3.387
18903,Huvila Pale Ale,5187,4.2,45,,1,['Pale Ale - English'],3.305
1396870,Gates of Valhalla,145817,7.9,0,Oatmeal Pale Ale,1,['Other'],4.05
124504,805 Blonde,524,4.7,20,"Subtly sweet and sessionable, formerly known as the Honey Blonde",2,['Blonde Ale'],3.525
1234598,Life,186090,8,8,"A new breed of Belgian ale we created blurring the boundaries of  the Quadruple style and White Wine, we call it a “White Quadruple”. Life is formulated with the New York grown white wine grape Gewürztraminer. Life was fermented in stainless steel and aged in California Chardonnay barrels. It shares many of the attributes of a classic Belgian Quadruple but with a malt profile designed to create a balance with the Gewürztraminer grapes.",1,['Belgian Quad'],3.665
360572,Loose Leaf Session Ale,7296,4.5,0,"You know those epic days that start with an idea, turn into a dare and end with a great story to tell? This is the beer for those days. Crisp and refreshing like any respectable session ale, but a bit more hop-forward and flavorful than some. Perfect for going with the flow.",1,"['Ipa - Session', 'India Session Ale']",3.515
1435239,KawhIPA,3020,6.5,65,,1,['Ipa - American'],3.962
1264139,St. Paul White,8516,4.8,10,"St. Paul White won the bronze medal at the Brussels Beer Challenge 2015 in the category 'Witbier'.

Review of the Brussels Beer Challenge 2015:
Appearance: Beautifull colour, lasting white foam, great appearance, good carbonation. 
Aroma: Spicy (coriader, orange peel,...) wheat, smooth; Great nose. Very clean. 
Taste & body: Light body, good carbonation, spicy, some wheat, subtle, great lasting finale. Top. Well balanced, refreshing & very drinkable.
",1,['Witbier'],3.132
1434205,Astral Batch #6 - European Challenger,29486,6.9,0,,3,['Ipa - English'],3.339
544213,Relapse,78850,8.5,65,,1,"['Red Ale - Imperial', 'Double']",3.958
331531,Wild One,26766,6,0,,1,['Cider'],3.435
916696,Enjoy After 12.26.15 Brett IPA,1204,7,70,"This IPA is spiked at bottling with Brettanomyces, a wild yeast that, over time, brings about charmingly unpredictable complexities of spice, funk, acidity and more. The operative words in our beer-cellaring thesis are “over time.” For those of you who are impatient or like to experiment, the earliest we recommend sampling this beer is 12.26.14. The beer won’t be fully carbonated until that date. Ideally, you’ll want to cellar the beer up to—or beyond—the Enjoy After date to help it reach its full evolutionary potential. At that point, some facets of the Brett characteristics will have mellowed, while others will have become more profound; it all matures into a fascinating and delicious culmination. Individual results will vary…and that’s both the beauty and the intent behind this beer.",2,['Ipa - American'],3.545
1042004,Morning Bell (2013),14653,7.8,0,,1,"['Porter - Imperial', 'Double']",3.917
1248504,Hvit Jul,923,4.5,25,"Hvit Jul er et lyst hveteol med kraftig humleprofil. Krydret
smak og aroma med referanser til jul. Dette blir en helt ny retning
innen juleol.
",1,['Witbier'],3.289
29271,Mean Old Tom,2874,6.5,0,Our American-style stout aged on organic vanilla beans.  Intense notes of coffee and dark chocolate lead way to subtle notes of natural vanilla.  Flaked oats generate a silky mouthfeel.,1,['Stout - American'],3.97
917111,Christollen,115672,3.9,0,"Opus Dei aged in Maple Rum barrels with currants, golden raisins, lemon and orange zest.",1,['Patersbier'],4.053
166573,Zillertal Weißbier Dunkel,13865,5,0,,1,['Dunkelweizen'],3.326
1086508,Hopcellerator,27227,7,65,"West Coast IPA brewed in Pittston, PA. Citra, Cascade, Simcoe, Amarillo, Centennial and perhaps a mystery hop or two.",1,['Ipa - American'],3.728
1344143,Faded Black,186509,7.1,0,W/coffee and maple syrup,1,['Porter - Other'],4.155
630918,Alpha POP,241,4.5,30,"A hoppy rye ale loaded with an avalanche of citrus and resinous flavours, Alpha Pop is about to take control of your taste buds and lead them on a new adventure.

A barrage of aroma explodes from the glass. Columbus, our high-alpha friend, lends a huge pithy citrus blast, with Ahtanum providing a punchy tropical fruit back-up.

Brewing with rye adds a spiciness to the speciality malt caramel backbone, giving a warm ginger snap flavour, before slowly the hops, barley and rye combine and build to an orangey, biscuit. Almost chocolately crescendo.

Alpha Pop is the alpha dog of rye pales; the leader of the pack, a firebrand for other beers to follow behind, in a full-on spicy hoppy assault on the senses.",1,"['Rye Beer', 'Rye Ipa']",3.457
77637,Big Bad Baptist,7216,12.1,0,Stout with cocoa nibs and coffee added and aged on whiskey barrels,1,"['Stout - American Imperial', 'Double']",4.228
1231873,Afterglow,103429,7,61,"Afterglow is an American IPA, rich in West Coast and South Pacific hop flavors and aroma.  The juicy malt base enhances the notes of tangerine, pine, and berries from the hops.  It finishes with a pleasingly dank and firm bitterness.",2,['Ipa - American'],3.902
148507,Native Storm,8726,4.4,43,"Dry Hopped ESB

Biscuit - Tangerine - Spice

Colour: 30 Units
Food Partner: Lamb Shanks
Spirit: Anticipation

Big malt body meets orange flavours. Citrus with a touch of delicate spice.

At the eye of the storm in the depth of legend, 1400. Owain Glyndwr, Welsh Ruler, conquered Saxon invaders. His legend forever remains.",1,"['Extra Special', 'Strong Bitter']",3.3
663319,Sudhaus Pils,227193,4.8,0,,1,['Pilsner - German'],2.434
395,Bam Bière,723,4.5,0,"An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast.",1,"['Saison', 'Farmhouse Ale']",3.677
1264557,Dragon's Milk Reserve: Coffee And Chocolate (2015),908,11,31,"“Indulgence” is Dragon’s Milk aged with coffee and chocolate. Rich, indulgent chocolate flavors are seductively punctuated with dark and roasty coffee bitterness.",1,"['Stout - Imperial', 'Double']",4.257
1016769,Venus Reigns,2031,6.9,0,Pear Cider aged in Red Wine Casks,1,['Perry'],3.767
670063,American Pale Ale Tears of Liberty,95242,5.2,35,,1,['Pale Ale - American'],3.91
670060,Chequered Flag,10354,4.1,0,"Winning refreshment can be had with every pint of our Chequered Flag amber ale.
 
Generously hopped using Cascade and Willamette this ale will leave you wanting more. Malt flavours come from a skilful blend of Pale and Crystal malts.",1,['English Bitter'],3.428
1331272,Death By Chocolate Porter,187909,6.5,0,,1,['Porter - English'],3.43
43006,JK'S Scrumpy Orchard Gate Gold Organic Hard Cider (Farmhouse),2931,6,0,"Orchard Gate Gold is fermented naturally in small artisanal batches from a proprietary blend of organic apples grown here at our Koan Family Orchards in Michigan. We have produced hard ciders here since the 1860s. This is the same traditional recipe that helped save our farm during the great depression. There will be slight variations from batch to batch, just as nature makes no two apples alike! Enjoy our authentic hand bottled American Farmhouse ""Scrumpy"" Cider with family, friends & food.",1,['Cider'],3.798
323360,Bakalář Medový speciál,26351,5.8,0,"Speciální světlé pivo bohaté chuti, s nádechem chmelové hořkosti a doznívajícím podtónem lesního medu. 

Special lager beer characterized by rich taste with a touch of hop bitterness and base notes of forest honey.",1,"['Herbed', 'Spiced Beer']",3.297
10080,Commodore Perry IPA,3125,7.5,70,"A medium-bodied and well hopped India pale ale with a dry, fruity finish. Named in honor of the hero of the Battle of Lake Erie during the War of 1812. ""Don't Give Up the Sip!""",2,['Ipa - English'],3.612
145776,Clash London Porter,8640,4.5,29,English dark porter finished with American hops - a 'clash' of styles. Medium-bodied and very easy drinking.,1,['Porter - Other'],3.56
1301255,Sessio Stout,65929,4.2,28,Roasted barley and Wheat malt,1,['Stout - Other'],3.182
285026,Lagunitas Sucks,765,8,63,"Lagunitas Sucks’ popularity has led to the company to drop the word, “Holiday,” out of the beer name and eventually make it year-round.",3,"['Ipa - Imperial', 'Double']",4.027
1301251,414 IPA,46351,7.2,0,,1,['Ipa - American'],3.515
481918,Stout,81889,4.3,42,,1,['Stout - Other'],3.369
1361807,Floreffe Prima Melior (2015),197,8,20,,1,['Belgian Strong Dark Ale'],3.445
5047,Turbodog,10,5.6,28,"Inside every dog, there’s a Turbodog® ready to break free. This brown ale has a rich, dark color and body with a sweet chocolate, toffee-like flavor. Turbodog® is powered by
pale, caramel and chocolate malts and Willamette hops for runaway good times.",1,['Brown Ale - English'],3.493
1251878,Marks & Spencer Maritime Salted Caramel Porter,844,5.5,0,,2,['Porter - Other'],3.275
133495,Koning Honing,8291,7.5,25,"Koning Honing distinguishes itself from other honey beers by the application of the special Sicilian orange blossom and Canadian clover honey. The honey is added into the brew after the main fermentation to fully refect its taste. Canadian clover honey has an incredibly full and rich butter, vanilla aroma and taste. Contrary to the general expectation, Koning Honing is not extreemly sweet, sticky or heavy. Do you fancy a beer with more character and flavor than a blond but are triples too tough, take something special: take a Koning Honing, the King of honey beers! ",1,['Blonde Ale'],3.363
712308,Shipfaced IPA,29556,7,87,,1,['Ipa - American'],3.495
1442509,Wild Blueberry & Lime,10147,4,0,,1,['Cider'],3.273
1449916,Great Big Steve,55402,7.5,23,"Great Big Steve is named after Grover Cleveland, former Buffalo mayor, and our 22nd (and 24th) President. Grover Cleveland was known as ""Big Steve"", and also known as the least-healthiest President, because of his penchant for beer drinking and cigar smoking!  This is a clean and malt forward beer, similar to a doppelbock, but brewed with ale yeast.  Great Big Steve was also brewed with house smoked malt from New York Craft Malt as well as spelt from Haus Malts in Ohio.",1,['Doppelbock'],3.817
315,Jeremiah Red®,7132,7.3,25,A Silver Medal winner in Strong Ales at the 1996 Great American Beer Festival. This Irish-style strong ale is brewed with a secret blend of five imported specialty malts. Not too hoppy in order to emphasize the complex malt flavor and fruity aroma.,1,['Red Ale - Irish'],3.577
130555,Corsendonk Summum Goudblond,246,7.8,0,,1,['Belgian Tripel'],3.469
