UID,User_Name,Location,Number of Ratings,Mean Rating
3011349,,Oss ,50,3.6699999999999999
2506114,,te aro,50,3.5600000000000001
1326565,wimsel,Prinses Beatrixstraat,0,nan
813689,Ludroberto,"Rio de Janeiro, Brasil",0,nan
53046,,Chicago,50,4.0599999999999996
2855629,,Malmö,50,3.3050000000000002
1923552,cthomas757,vb,0,nan
117122,,"Grand Rapids, MI",50,3.875
39676,,Pacific Palisades,50,3.6899999999999999
412964,H0gt1es,"Cotati,Ca",0,nan
541013,,Montreal,50,3.7400000000000002
1201156,,Cleveland Ohio,49,4.091836734693878
1955843,Orissacamille,"Milwaukee, WI",0,nan
649620,mcphranklee,"Oakland, CA",0,nan
2738928,,Florianópolis -  SC -  Brazil,49,3.4336734693877551
2314535,J3d77,"Woodstock, Ga 30188",0,nan
1737166,,Marnelaan,50,3.4500000000000002
2620665,,"Milwaukee, WI",50,3.7250000000000001
50148,,Brummen,49,2.9285714285714284
1095289,,Stockholm,50,3.7349999999999999
76119,danneufeld,Winnipeg,0,nan
326411,,Wilmington De,49,2.75
2237439,juninho68,Westoe,0,nan
1403910,,Texas,50,3.9300000000000002
318740,,Bogotá ,50,3.6800000000000002
167158,,"Boston, MA",0,nan
2538749,RBTheAlum,Chicagoland,0,nan
1781512,davef1969uk,Carlton Colville,0,nan
1557842,ricmira,Sao Paulo - Brazil,0,nan
55980,mlbbest,San Diego,0,nan
341179,Klasvegas,sthlm/falun/world,0,nan
496485,jakeenglish8541,"Washington, DC",0,nan
719376,Myklgear,"Minneapolis, MN",0,nan
190845,degiliom,Syracuse,0,nan
1803725,benjaminreiss33,Green Bay,0,nan
1645040,marcito100,Groningen,0,nan
1484647,,"Dover, NH",50,4.1200000000000001
621684,,Tokyo,50,3.8100000000000001
2809092,,Gent,49,3.3010204081632653
441845,,santiago,50,2.9900000000000002
184703,,"Lancaster, PA",50,3.4300000000000002
13905,pmppk,San Francisco,0,nan
1751957,Chris592,Breda,0,nan
1127350,,Roma,50,3.8199999999999998
3034195,Goaeclipse,Melbourne,0,nan
530142,,"Rotterdam, the Netherlands",50,3.4399999999999999
1870076,,JS Breweries,50,3.3900000000000001
194244,weltreisender,"Columbus, MS",0,nan
504766,,NJ,50,3.9550000000000001
1576873,,Villa D'Arco,50,3.6299999999999999
7338,,"Ridgefield Park, NJ",33,4.6060606060606064
302334,Sazo29,"Hayward, CA",0,nan
614244,,PA,50,3.4649999999999999
1914977,michelvanheeswijk,Tilburg,0,nan
1208945,SingNX2U,California,0,nan
2395674,,bergendals 78,50,3.4049999999999998
2339090,Nao-Hinata,"Yokohama,Japan",0,nan
1138098,hungerjams,"Manchester, UK",0,nan
3083585,FightOnState1863,"State College, PA",0,nan
2827762,VLatonas,Vilnius,0,nan
550604,,Bristol,50,4.1050000000000004
1081410,,Husker Hopville,49,3.9744897959183674
701045,thinkfree420,"Lexington, KY",0,nan
127128,beer-man,Denver,0,nan
1349250,,Heerhugowaard,50,3.6850000000000001
1818127,Ruben-snaga,Stasegem ,0,nan
1368548,GT-AE89,Virginia ,0,nan
111257,,Sydney,0,nan
403260,,Ottawa,50,2.835
120020,rbdntd,"Wildwood, MO",0,nan
305755,,Toronto,2,3.375
2721419,Diogans,Madeira,0,nan
325285,Joalri2215,"Hartford, CT",0,nan
299368,,Philadelphia,50,3.4449999999999998
189633,,Cleveland,7,3.8571428571428572
2218657,gailduncan,Manchester,0,nan
1775424,,Federal Hill,50,3.2349999999999999
837868,,"Lancaster, PA",50,4.0350000000000001
303707,pugsandsuds,"sunnyvale, ca",0,nan
769004,yeagerbomb,"Lawrence, KS",0,nan
2139759,JSVol,"Appleton, WI",0,nan
2833159,NDeCarlo86,"Harrisburg, PA",0,nan
1059987,Coluch,Naugatuck Connecticut 06770,0,nan
2595508,,"Yankton, SD",46,2.9673913043478262
2659212,Alex_cav98,Italy,0,nan
37421,ethmaestro,Land of Sky Blue Waters,0,nan
973431,,Brooklyn ,50,4.1050000000000004
2691011,sykesgreg,Huddersfield ,0,nan
1453624,,Sweden,50,3.7250000000000001
39488,tommyo10,"Philadelphia, PA",0,nan
1471096,,Zundert city,50,3.2799999999999998
1602327,,Turku,50,2.9449999999999998
14176,Kyleisdesign,Nashville,0,nan
1394014,caples69,"Chandler, AZ",0,nan
2505098,,Örebro,50,2.9550000000000001
2647361,,NorthEast USA,50,2.8999999999999999
170163,grem182,New Orleans,0,nan
575131,CaseyHill,7 Cities ,0,nan
515753,crackrk,"Minneapolis, MN",0,nan
1065175,ebeat10,Rancho Cucamonga,0,nan
28345,,Albuquerque,49,3.9030612244897958
1028197,,Hoffman Estates,49,2.8214285714285716
302918,acranchi,"Campinas, Brasil",0,nan
734659,Geuezedad,Phoenix  Arizona,0,nan
138652,,Fort Lauderdale,50,3.9700000000000002
1384534,J27tweet,Kovy's House,0,nan
558084,,Minnesota,48,3.2708333333333335
915302,accebermorris,"Rockaway, NJ",0,nan
1431875,,"Lexington, KY",50,4.2050000000000001
1027610,Chris_O,VA,0,nan
2132797,pulidovic,Ponferrada/Leeuwarden,0,nan
394532,illinibrown,"Tulsa, Ok",0,nan
41812,,"Chicago, IL",50,4.0350000000000001
97570,,Aberdeen,48,3.46875
461236,,Cedarburg WI / Broken Arrow OK,50,3.8399999999999999
170646,,"Pendleton, Oregon",44,3.6420454545454546
784946,Keeneja,Cleveland ,0,nan
1526719,Svalbaard,Sint-Amandsberg,0,nan
1069762,,"Dorchester, Ma",45,3.3944444444444444
653911,BrewBEERd,Bridgeport,0,nan
65450,,Florida,50,3.7400000000000002
2224922,,Fritsla ,49,3.4183673469387754
3082069,NoelNield,sheffield,0,nan
1358425,,Jason's Happy Place,50,3.355
115006,dpiper,Wallingford ,0,nan
1537488,blancochico,The Inner West,0,nan
204700,tdub63,Ohio,0,nan
1378413,czech-76,"Moscow, Russia",0,nan
1509192,ZWal93,"Columbia, MO",0,nan
541369,hammel11,"New Albany, IN",0,nan
135361,coldcrush77,Denver,0,nan
277906,Tokyo_Brew,"Tokyo, Japan",0,nan
2197406,Loeselt,VA,0,nan
750878,murkalus,Biržai,0,nan
297117,SysTek83,Goor,0,nan
25999,smdonovan,New Hampshire,0,nan
2537538,Cdhiner,"New York, NY",0,nan
602780,JMolek,"Crete, IL",0,nan
699855,dustymoth,Sheffield,0,nan
1395379,Vansmack,east Azusa,0,nan
1686456,jdomin,"Waterloo, Ontario",0,nan
32559,JPrebs,"Safety Harbor, Florida",0,nan
319784,OGMrWhite,"Lompoc, CA",0,nan
450698,egrabows,"Sterling,  VA",0,nan
2165063,Pakuotil,Helsinki,0,nan
1844747,Mjgibson,Dartmouth ,0,nan
1730403,Jcarl,My house,0,nan
2160205,redjarle,Stubbantunet,0,nan
56080,mijbac117,"Fort Wayne, IN",0,nan
382914,TappedOut231,Greenville SC ,0,nan
983819,Knobeloch,Charlotte,0,nan
75896,cdkorps,"Knoxville, TN",0,nan
1302045,MisterPeacock,"Miami, Fl",0,nan
493869,jarno9,East stroudsburg,0,nan
28984,ryanmmacoustic,"Denver, Colorado",0,nan
2353474,Ilppe,Helsinki,0,nan
1212709,RyPe,Omaha,0,nan
20669,moarhops,Pittsburgh,0,nan
594901,ElvisLively,Evanston ,0,nan
1292512,zx2762,"Cadiz,  Ohio",0,nan
774504,Ceciliaje,Gävle,0,nan
2252837,Boomerblue,Uncle Bob's,0,nan
476286,kristindevlin,wa,0,nan
1035658,ElBatcho,"Clemmons, NC",0,nan
1483325,teknopunk,Moscow,0,nan
1462091,jennycassada,"South Jersey Shore, New Jersey",0,nan
220497,patrickjmorin,"Wallingford, CT",0,nan
1550198,Micherzim,Brazil,0,nan
3088240,Kathyq729,CT,0,nan
159318,wesleybear,"Marietta, GA",0,nan
1106057,linnitter,Bergen,0,nan
920430,Fhilo,Fredericton,0,nan
145676,watkinsk2g1b,utah,0,nan
638714,sharshel,Tennessee,0,nan
347510,,"Harvest, Alabama",50,3.375
2766528,cdgreen,Toronto,0,nan
156177,,NYC,33,3.0227272727272729
1198549,Ohhh_your_face,"Monmouth Junction, NJ",0,nan
581240,niclast,Stockholm,0,nan
30667,Thieves,Minnesota,0,nan
2584036,UAWILDCAT97,"Chandler, Az.",0,nan
3085127,JanneLeppanen,Jyväskylä,0,nan
2924048,agerson_carvalho,Brasil,0,nan
134710,AisoRed,Milwaukee,0,nan
52618,Whig68,"Coatesville, PA",0,nan
3084604,charliecook99,Maryland,0,nan
700023,Braided502,Louisville,0,nan
2722705,Downside-Up,Johannesburg,0,nan
1702089,Magsol,Oslo,0,nan
861004,Hatmaker613,37716,0,nan
3006587,Lhaselwood,Folsom ,0,nan
2189321,TheVorp,17815,0,nan
1322213,BlueStyle18,"Charlotte, NC",0,nan
1600969,,Dortmund,47,3.6489361702127661
1749041,SgtMike,Skövde,0,nan
835349,DuComte,Rotterdam,0,nan
7533,,"Raleigh, NC",49,3.8418367346938775
1388756,Tinyjr34,"Manitowoc,WI",0,nan
134274,nigelmill,Ealing,0,nan
252906,Envelopes,"Columbus, OH",0,nan
218451,sociald13,South Jersey,0,nan
321530,simpsonc9,Michigan,0,nan
1798632,Joao_Silva,Osasco - Sp - Brasil,0,nan
2242451,Riksen,Riksen bryggerier,0,nan
2915428,djaggelzz,Brabant,0,nan
2456633,Johnebass,Back Mountain,0,nan
4762,2chaos,"Long Beach, WA",0,nan
730210,RF_Fidelity,'Merica,0,nan
61295,Furtney,Vancouver ,0,nan
1011796,simoneoldtower,Novara,0,nan
582568,Kirschi,Köln,0,nan
810629,,"Vancouver, BC",50,3.5049999999999999
582563,HamBrew807,"Batavia, Ohio, USA",0,nan
806569,Casek,Grand Rapids,0,nan
1403641,MyWastedBrain,Siracusa (Sicily/Italy),0,nan
185228,rosslieb,20007,0,nan
672014,Sprat10,"Lapeer, MI",0,nan
1361450,snomann,Brennsætervegen,0,nan
1874395,Beerfoodbrisbane,Brisbane,0,nan
2376805,Jmccord813,McCord's Pub II,0,nan
302244,brian_hemphill,Virginia,0,nan
193435,kristianselnas,Trondheim,0,nan
2621148,christiancaldeira,"San Diego, CA",0,nan
42781,clobie,90803,0,nan
1312247,SuiteDee,Virginia ,0,nan
155373,SaintSasquatch,"North Canton, Ohio",0,nan
2080535,Soch,Frederick MD,0,nan
499273,macdukes,"Oxford, MS",0,nan
2217886,anafl416,London,0,nan
371331,themollusk,New Jersey,0,nan
2148393,XroachX,"Ashland, Oregon",0,nan
926903,Luckyarmpit,"Garner, NC",0,nan
660475,coluber,Östersund,0,nan
1328263,Kurzman,Kurzmania,0,nan
1928346,ManBearPig76,"Champaign, IL",0,nan
677094,drunkenstupor,Va,0,nan
1058355,hakapunk,Purley,0,nan
389624,chuckgtc,The land of snow and Purple Rain!,0,nan
2244545,ctibbetts,"Manchester, NH",0,nan
3076504,spbastien,Florida,0,nan
181421,mattshiv,Perth,0,nan
60597,chris_seaver,Seattle,0,nan
9136,posterdan,"Hbg, PA",0,nan
2815198,Stinkin-n-drinkin,"Bergen, Norway",0,nan
61935,RandomCrispy,Ottawa,0,nan
690926,Hashtagbass,Los Angeles,0,nan
788483,freemars,"Boise, ID",0,nan
732977,Asheahen,The Hive,0,nan
2478034,B33rgoggles,Calgary,0,nan
546325,mpaine,Portland OR,0,nan
2669822,jimbo98,N?tincs,0,nan
150240,kmcrobb,Mesa az,0,nan
1657142,DryHoppedSnidOnCask,"Enola, PA",0,nan
3055901,ArmasAA,Kristiansand,0,nan
1464221,KimmoLeime,Lieto,0,nan
12662,andreiz,San Francisco,0,nan
1886177,mallasmax,Helsinki,0,nan
1853936,Nnewf,"St. Philip's,NL",0,nan
3151369,ThreeThreads,Assen,0,nan
2762168,1000guns,New York,0,nan
961331,CracktheCase,Richmond VA,0,nan
2429083,KTL123,"Haslett, Mi",0,nan
922681,SLOBrewCruzin,"Campbell, CA",0,nan
1756792,halighna,"Luleå, Sweden",0,nan
985513,,Lahti,49,2.8010204081632653
1281669,Franktank4ever,Arendonk,0,nan
134090,mcornell,"Delaware, Oh",0,nan
86721,jaxun99,"Houston, TX",0,nan
1797565,Jjpmalone,Edinburgh,0,nan
413558,passepar2,Atlanta,0,nan
685810,Beheritbaphomet,Tarkhir,0,nan
164100,jeffsobell,Portage/Kzoo,0,nan
2345208,Niclas1976,Göteborg,0,nan
1711552,Burquebrewski,"Albuquerque, New Mexico ",0,nan
2750457,Toom1,Pleven,0,nan
17635,BoozyBonton,Port St. Lucie,0,nan
345122,TheStoney,08043,0,nan
446369,zippywood,Out Lady of Perpetual Awesomeness ,0,nan
329200,SnorreQ,Madrid,0,nan
49097,faulksy,Australia,0,nan
405317,juice15,The Juice,0,nan
137198,donfasoli,"Middlebury, VT",0,nan
2988587,danielemolino,Torino. Italy,0,nan
916646,Doclaw,"Atlantic Beach, FL",0,nan
2306936,boaf,Hamilton ,0,nan
114101,fimrod,Knottington,0,nan
3160892,kkhutchins,Birmingham Alabama,0,nan
6200,Stacecom,Chicago,0,nan
607927,Darxmurf,lausanne - switzerland,0,nan
950770,Pengy69,"Den Haag, Netherlands.",0,nan
1631830,knightout,"London, United Kingdom",0,nan
107319,Fatty70,The Nasti 'Nati,0,nan
200993,cregets,Las Vegas,0,nan
2107742,tbmonroe,The Garage @ Cambridge Woods,0,nan
210207,slee4944,"Lancaster, PA",0,nan
1401068,Csboi1337,"Everett, WA",0,nan
2005500,uirassis,"João Pessoa, Paraíba, Brasil",0,nan
3169373,sixpack41,Walsall ,0,nan
80910,jeremybebeau,"Seattle, WA",0,nan
737365,Heids62,Green Galaxy Brewery,0,nan
842458,Coldsnack,FL,0,nan
698407,rojas66,"San Diego, CA",0,nan
799449,RiverNorthMac,Denver,0,nan
1240837,olivesrus,LA,0,nan
293197,jabbeloo,Denderbelle,0,nan
2153445,vwalt,Albuquerque,0,nan
919350,KimHoegaarden,Finland ,0,nan
2288345,Edwin88,Nederland,0,nan
865565,Calvin51,Central PA,0,nan
151401,leightaj,Orlando,0,nan
1852415,BeerRevolutionHay,Hay on Wye,0,nan
1722322,Cerviajante,"João Pessoa, Paraíba, Brasil ",0,nan
855516,FeiJai,Southern California ,0,nan
101636,aur3lie,Almere,0,nan
1985221,michaelscivic,United States,0,nan
463807,Carolinared,Brea. Ca,0,nan
2733653,pparis15,"Kennesaw, GA",0,nan
22285,designerdrc,C'ville,0,nan
1009659,SPBJ,Tampa,0,nan
456760,rrbussrr,West Des Moines,0,nan
21938,cigarmedic,Philadelphia,0,nan
21936,kayak101,Pennsylvania,0,nan
127315,JoeDay,cleveland,0,nan
920849,PubMilos,"London, Ontario ",0,nan
87636,julifoster,"Silver Spring, MD",0,nan
122092,cesarisamisfit,san diego,0,nan
382824,wasnowrider,"Boston, MA",0,nan
1834105,ochaykovskyy,"Boston, Massachusetts",0,nan
163385,ChrisMclean,"Aberdeen, Scotland",0,nan
132044,kwhyte,Perth,0,nan
2813353,baldymike,Club klaverblad,0,nan
827945,kmaczko,From the coach on Fountain.,0,nan
118588,witmarc,"Tallahassee, FL",0,nan
1436432,vesterberg,"Sydney, Australia.",0,nan
1791647,Ericguscadillac,Michigan ,0,nan
2986613,Eliphas333,Gateshead,0,nan
230638,jookos,Raseborg / Helsinki,0,nan
64708,marty1985,"Belfast, Northern Ireland",0,nan
1585309,chrisp089,München,0,nan
710440,BrenFitz11,"Washington, DC",0,nan
154903,nspagnuolo,boston,0,nan
1054339,Dabear85,"Bolingbrook, Il",0,nan
1439975,GamnDood,Michigan ,0,nan
351936,twmjason,"Raleigh, NC",0,nan
977417,hasafran,"Lexington, KY",0,nan
2728012,ShiatoruToBiruGaDaisuki,"Kearny, NJ",0,nan
2744218,Provo83,Lancaster PA,0,nan
72125,jberlat,Houston,0,nan
142523,TheGoatreich,Newport,0,nan
671839,worrrd,"Madison, WI",0,nan
159754,bcastle,"Fort Worth, TX",0,nan
748085,Shodan,Eindhoven,0,nan
1046619,chevywise33,"Cumberland, MD",0,nan
643590,patriknord,malmö/sverige,0,nan
340974,Agent86,Beertopia,0,nan
414771,WoodE,"Essex, UK",0,nan
323697,CaptainKrausen,"Corcoran, MN",0,nan
177388,Vikerkleiva,Vikersund,0,nan
955337,JohnParadee,"Dover, Delaware",0,nan
1892215,nmelione,New York,0,nan
97964,raywilburn,"Dayton, Ohio",0,nan
981097,bigbear2g19,"Independence, MO",0,nan
1298746,greenandrew88,"Dallas, TX",0,nan
998102,Wet-Toast,Golden Bay,0,nan
72180,JaysunFl,Orlando,0,nan
1893796,dracunculus,Birmingham (UK),0,nan
187135,BeerBAaron,Chicago,0,nan
132659,brandon4077,"Dallas,TX",0,nan
942765,bmers,Illinois,0,nan
417743,Jable,"Geneva, Il",0,nan
2079905,Gobofraggel,Skien,0,nan
1228910,Dirtbarn,Virginia,0,nan
2783679,stefanpot,krekelworst,0,nan
28152,Reboona,Boonies Balconie,0,nan
11994,,NJ,50,4.1699999999999999
2688959,cyclingmod,Sheffield,0,nan
467606,EricGlass,South Philadelphia ,0,nan
3023802,raysv,Skedsmokorset,0,nan
341098,FloBo75,Bavaria,0,nan
2101586,Churchster81,Your mom,0,nan
757329,Siimv,Tartu,0,nan
1031198,clintshoe,"Hermiston, OR",0,nan
519097,JessSpangler,My Humble Abode,0,nan
1615956,RLagace,"Mapleville, RI",0,nan
106490,jskoglund,Bredared,0,nan
1513551,Mswpinto,"Richmond, VA",0,nan
1513556,Givn2wail,"Springfield, IL",0,nan
1092561,Jackiescenic,CT,0,nan
1407578,fuckthisshit,Pyatt's Roost,0,nan
2980298,mammoth85,Petts Wood,0,nan
228335,backflip9960,"North Tonawanda, NY",0,nan
977454,Jimmyeatpugs,Somd,0,nan
427822,puggsybogues,"Charlotte, NC",0,nan
2939844,jjb5823,Wiesbaden,0,nan
775656,Iberica,"Russia, Moscow",0,nan
566973,Newmanwell,Jacksonville ,0,nan
1052173,camlikesbikes,"Ontario, Canada",0,nan
82514,Zanger,California,0,nan
419510,Evango,Bucktown Backhouse Brewery,0,nan
1170048,Beer4B,Lakeland ,0,nan
2760575,Lwadams,Home,0,nan
386831,MrknMuffley,"Bellevue, KY",0,nan
281864,Jbologna,The kingdom of Weird,0,nan
28855,doobwah,los angeles,0,nan
470738,MackayClanBrewing,"Denison, TX",0,nan
1076422,Uffda,"Lansing, Michigan",0,nan
448891,minke,Umeå,0,nan
413078,PdxIPAgirl86,"Plano, Texas",0,nan
686774,Mendozatron,Florida,0,nan
1653610,mrfman,Gothenburg,0,nan
1363,lloyd77,Pennsylvania,0,nan
95710,mediaphish,"Carthage, MO",0,nan
2358074,SamSchwartz,middle of nowhere ,0,nan
663089,SkeetyRF,"Rochester, NY",0,nan
3094747,mycraft,Tokyo,0,nan
1187362,mynameisearl22,Maryland/DC,0,nan
3111773,crystalleinhart,CT,0,nan
867698,aberdeenlad,Aberdeen,0,nan
1566721,travishorne,Lebanon ,0,nan
2591765,Weizendoppelbock,Oestrich-Winkel,0,nan
2639311,Six36,Utrecht,0,nan
1075119,,"Chicago,  IL",50,4.0300000000000002
1356148,Aussiedeadhead,Melbourne,0,nan
1004843,Klambert1980,Charlotte,0,nan
663228,iraegan13,"Burlington,  CT",0,nan
11150,journeyman335,Cincinnati,0,nan
2703428,MikevanS,Spijkenisse ,0,nan
541818,Haddyhustle,302,0,nan
1285387,TheWingsArt,Ascoli Piceno (Italy),0,nan
335875,Vennsten,Värnvägen Fagersta ,0,nan
1144625,ricardoperez,São Paulo,0,nan
53078,ddicker60,"Massillon, OH",0,nan
2122862,Whiterk2,"Milwaukee, WI",0,nan
135013,Mikeski838,Ohio,0,nan
1873862,Bigbaza,australia ,0,nan
134359,Adam_E2112,"Manchester, MO",0,nan
1165938,BeauNidle,Worcester,0,nan
131149,fsupatriots,The Magic City,0,nan
2038319,,CLEARWATER,46,3.7663043478260869
1478991,jsrose,Chicago,0,nan
1131078,SECBeerFest,"Columbia, Missouri",0,nan
2875477,chrisolszak,North Carolina,0,nan
428095,perottar,Oslo,0,nan
358943,mkatti,Turku | Finland,0,nan
108596,MGilbert,"Elizabethtown, PA",0,nan
883095,Bredboy,"Rockford, IL",0,nan
1318284,BrewingBear,NoCoYo,0,nan
697014,Halvorlw,Oslo,0,nan
1008766,Fightinthedog,"New Glarus, WI",0,nan
2660816,CaptMalt,Chelmsford,0,nan
189744,donedeal,cleveland,0,nan
302871,Fake_Shemp,Chicagoland,0,nan
455022,kuo100,Drunk,0,nan
37731,jimc79,Bellevue TN,0,nan
697057,angqy84271,"Chandler, Az",0,nan
2327840,mandarijnen,Groningen,0,nan
787995,mattyp3693,Buffalo New York ,0,nan
1712464,Hansmag,Langhus ,0,nan
2477561,Zevenvillas,At home,0,nan
482001,pj201,"Raleigh, NC",0,nan
72177,sanborn13,Maine,0,nan
401702,jmwatts2,Richmond,0,nan
410101,chrisfairs,San Diego ,0,nan
47475,megmo,Chattanooga,0,nan
1479158,Mpembree,"Caton, New York",0,nan
1258762,MaulSD,San Diego,0,nan
148955,frank_6985,Beechview,0,nan
2187762,pjc39,"Philadelphia, PA",0,nan
2080152,daeseleer,Veenendaal,0,nan
189000,morebeergood,Addington Castle ,0,nan
87896,ginuwineus,"miami,fl",0,nan
659485,jkeeler,New York,0,nan
1731142,Makkna,???????? Storfors - Tønsberg ????????,0,nan
157508,hoptimismrob,Loughborough,0,nan
1619411,PDrotleff,"Cleveland, OH",0,nan
3059695,Makeaaa,"Amberg, Germany",0,nan
2552672,Earthman,Drinkwerx & LiquiLab,0,nan
373356,deyoung99,NJ,0,nan
29536,Mcbenavides85,San Antonio,0,nan
2711741,Alan-saints,Orcutt CA,0,nan
868907,Hpduun,Bergen,0,nan
2250539,jredenbaugh,Wilmington NC,0,nan
241745,dustinbalton,Philadelphia,0,nan
713603,NRDyer,"Vancouver, Canada",0,nan
629219,Nightman87,"418 Beers Ann Arbor, MI",0,nan
2140160,nick1996,Tilburg,0,nan
278418,4wittales,las vegas,0,nan
81132,mattcrecelius,"Saint Louis, MO",0,nan
2274262,bthames22,Shreveport,0,nan
892656,grahamdaddy,Fort Worth,0,nan
129056,loveandvenom,Dayton,0,nan
1245707,evilsquirrelz,Moishe's,0,nan
3004684,Suzy_B,Manhattan KS,0,nan
2872135,beardiedog,"Northampton, Northamptonshire",0,nan
26717,flinchbot,"Nashville, TN",0,nan
1821812,dcortez21,"Columbus, Ohio",0,nan
696542,Ktulu37,NJ,0,nan
28185,jcecil4vt,Holly Springs NC,0,nan
28182,AnnaJensen13,Iowa,0,nan
1178867,Shaz66,Brisbane,0,nan
257555,DoxieGirl,"Elk Grove Village, IL",0,nan
1588048,mantamaniac,Bogohuisje,0,nan
902389,PixieBlossom,"Kelowna, BC",0,nan
84855,foodembrace,"Fort Collins, CO",0,nan
107095,Dizzydsmith,Atlanta ,0,nan
668828,Travis7009,"Mount Pleasant, SC",0,nan
165996,JamieW,lancaster pa,0,nan
562041,maelynn,bucks beer fridge,0,nan
1663036,JTBang,"Fort Worth, TX",0,nan
715805,NorbertReddy,earth,0,nan
1617791,Rooie84,Son en Breugel ,0,nan
237077,lp,montreal,0,nan
3029435,Rdarragh21,"West Union, SC",0,nan
3119430,Kingrolo88,Penryn,0,nan
982044,gregcroteau,"Los Angeles, CA",0,nan
477511,vitorovic,"Gothenburg, Sweden",0,nan
1021277,RobEvers18,robs house,0,nan
360658,Brewhead,Detroit,0,nan
2637808,mconard,"Kewaunee & Loyal, WI",0,nan
618609,toddwillms1,"Milltown, NJ",0,nan
579054,Jortvdh,Groningen,0,nan
2360409,siglad,hertford,0,nan
1439811,Durunruner,Wherever the beer is,0,nan
840481,sspnica,"Pittsburgh, PA ",0,nan
63656,OMGLOLetcetc,Philadelphia ,0,nan
551477,machawk1,"Portsmouth, VA",0,nan
121998,lildude,Wokingham,0,nan
580390,Uberscooter,"Wilmington, NC",0,nan
263081,Geordiekrispy,"Perth, WA",0,nan
722251,Gustavo_Marin,USA,0,nan
352867,PhilCaruana,"Virginia Beach, VA",0,nan
352864,Treyliff,"Princeton, WV",0,nan
1219541,Goseymo,CO,0,nan
2030948,nafnikufesin,Edmonton,0,nan
540971,SteveHipwell,Diss,0,nan
122250,hamilton_brian,"Hamilton, ON",0,nan
227265,benmalar,Brisbane,0,nan
1189241,rollandb,"Millstadt, IL",0,nan
1811,reverendtoby,"Prairieville, LA",0,nan
2611112,BluVision,Byneset,0,nan
78683,A1Atraveler,"Stow, OH.",0,nan
400039,PenultPieman,"Mount Airy, MD",0,nan
1998976,Gervan,Diepenbeek,0,nan
1174081,thedon3382,Big D's ,0,nan
856130,hyperguy95,Houston ,0,nan
121099,luizagb,Curitiba,0,nan
1191639,Hollis2Hollywood,"Boston, MA",0,nan
356870,amymaters,Florida,0,nan
573384,Jefe07,"Missouri City, TX",0,nan
245013,jander68,Sao Paulo,0,nan
57778,mja1ajm,"Livonia,  MI",0,nan
1069796,Gtwalling,"Boston, MA",0,nan
1361388,Plysjtrollet,Oslo,0,nan
1263976,brewmanbrent,Winston Salem ,0,nan
576395,danyul,"Vancouver, BC",0,nan
3119395,heatherclough,CT,0,nan
2117033,Makumazahn,Citoyen du Monde,0,nan
2522384,RSNY,"New York, NY",0,nan
1733320,steinb,Grimstad ,0,nan
9005,idrunkthat,New Jersey,0,nan
1147857,Thiiviana,Brazil,0,nan
31533,thebrewscout,"west chester, pa",0,nan
154798,engsotille,"Curitiba, Brazil",0,nan
682289,Stacumz,"Spokane Valley, WA",0,nan
2663330,beerrw1024,Netanya,0,nan
462174,JMarx34,Bloomington,0,nan
173927,danieltennis,Littleton,0,nan
1239186,illuminace,"Billericay, UK",0,nan
2073129,johnmosieriii,"Washington, DC",0,nan
1515737,oljemaleri,Velocity?,0,nan
285625,iTj,Michigan,0,nan
250815,MikeOfBeer,"Columbus, OH",0,nan
2698874,zerqz,Alberta,0,nan
2400984,Bonnig,Manchester ,0,nan
22212,brentoman,Texas,0,nan
9115,iwearlederhosen,"richmond, va",0,nan
369289,A17sturm,Highlands,0,nan
1267825,Feliolut,Mataro,0,nan
9859,harrycross,Scranton,0,nan
2900570,Greenhill,"Hartselle, AL",0,nan
409126,Yaaaa_Beer,"Suffolk county, Long Island, New York ",0,nan
2328035,N12NK3,Groningen,0,nan
2772207,Lna,St Leipzburg,0,nan
3142371,SaFire88,Helsinki,0,nan
2106875,TonyDeVito,backyard patio,0,nan
305179,Craftbeerdiva,"East Providence,R.I.",0,nan
2337584,StanTheCaddie,The Spice Shack,0,nan
454681,Vizualize,NYC ,0,nan
1931132,ArturH,"Wroclaw,  Poland",0,nan
387347,JVinson,"Belle Isle, FL",0,nan
1308609,RyanNeel,Little slice of hades ,0,nan
49900,Diabexican,"Minneapolis, MN",0,nan
2786068,Clicbyvfm,Barcelona,0,nan
1967576,kjbober,"Painesville, OH",0,nan
120119,gavinsturgis,"Nashville, TN",0,nan
498087,robbie230,walsall,0,nan
32636,jfdav,"Seattle, Washington",0,nan
897541,ClassicZach,"State College, PA",0,nan
896239,ankka3,Turku,0,nan
844748,reefer_bob,Nor-Cal,0,nan
452531,Majakanvartija,Helsinki,0,nan
486208,mi6op,"Dover, OH ",0,nan
1390664,gerbendebock,Bockenstal Zwolle,0,nan
467967,BAYBEERMAN,Minnesota,0,nan
1854045,LMarks,"Wilmington, NC",0,nan
1788529,martijnmomberg,Enschede,0,nan
344625,mechanicalmaster,"Charlotte, NC",0,nan
2659082,club33,Växjö,0,nan
256768,Kmwey,"Houston, TX",0,nan
149112,CYeh,Taiwan,0,nan
1292368,Chughes12,The Moon Tower,0,nan
345439,chrisgaines,I'm directly under the Earth's sun...now!,0,nan
2521550,electric7,Philadelphia,0,nan
236548,TearsOfASeaCow,firkin awesome ,0,nan
1774110,gijsdelauw,Chez de Lauw,0,nan
137954,jdrober1,"Asheville, NC",0,nan
