alphaAcidMin,betaAcidMax,betaAcidMin,caryophylleneMax,caryophylleneMin,category,cohumuloneMax,cohumuloneMin,countryCode,countryName,countryOfOrigin,description,farneseneMax,farneseneMin,humuleneMin,myrceneMax,myrceneMin,status
4.5,6,4,22,5,hop,24,21,US,UNITED STATES,US,"Sterling is a relatively new diploid aroma variety, developed from, among other parents, Saaz, Cascade, Brewer's Gold, and Early Green. It is considered to have a very good noble hop style of spicy, floral, slightly citrusy character and is often recommended as a substitute for Saaz.",15,11,6,48,44,
10.5,8.5,7.5,7,4,hop,45,42,NZ,NEW ZEALAND,NZ,"Sticklebract is a triploid (some sources say tetraploid) cultivar developed in New Zealand during the 1970s, noted for its high selinine content and a piney, citrusy aroma. May give a unique New Zealand twist to English beer styles.",8,4,8,60,45,
3,5.5,3,10,8,hop,25,20,FR,FRANCE,FR,"Strisselspalt, sometimes called Strisselspalter, is a French hop grown especially in the Alsace region.",1,,15,30,20,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
3,4.1,1.8,12,7,hop,33,25,AT,AUSTRIA,AT,"Styria is a traditional hop-growing region on the modern-day Austrian/Slovenian border, and hop farms can be found on both sides of the border, although in modern times this variety is more closely associated with Slovenia and is sometimes called Savinja Goldings after a river in Slovenia. Although referred to as Styrian Golding, this hop is actually genetically derived from Fuggle rather than Golding hops. At one time the less desirable Fuggles were exported to some areas as ""Fuggle Golding,"" which is probably the source of the name. This hop became the primary hop grown in Styria in the 1930s when their other landrace varieties were severely damaged by powdery mildew. Because it is genetically derived from Fuggle, it is not surprising that Styrian Goldings also resembles Fuggle in character, with a pleasant spicy aroma.",8,2,25,38,25,
17.5,4.7,4.7,14.5,14.5,hop,27.6,27.6,US,UNITED STATES,US,"The first hedgerow (dwarf) hop variety to be grown commercially in the United States, and the first to be available to home hop growers as a rhizome, Summit is perhaps the strongest bittering hop available based on early crops. Because of its recent origin, it is not clear how it will develop in large scale commercial production; the numbers given are based on a few early crops. Summit has strong orange/tangerine citrus notes in aroma and flavor and its growers also suggest it as a good candidate for dry hopping. It was also the featured hop used in every beer in the 2006 Single Hop Festival hosted by Drake's Brewing Company.",1,,22.1,28,28,
12,7,4.5,10,5,hop,40,30,US,UNITED STATES,US,"A very high alpha acid bittering hop from Washington state, a sister to Zeus most likely derived from Northern Brewer. Reportedly has an intense but pleasant aroma. Sun is a proprietary hop controlled by S.S. Steiner, Inc.",1,,10,70,55,
10,8.5,7,10,10,hop,39,36,NZ,NEW ZEALAND,NZ,"A dual-purpose triploid derived from Smoothcone, Super Alpha, sometimes called SuperAlpha, has a fresh, grassy character with notes of pine needle and lemongrass.",0.5,0.5,33,29,29,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
8,5.7,4.3,10,9,hop,40,35,GB,UNITED KINGDOM,GB,"An early British high-alpha hop, at one point Target accounted for 40% of all U.K. hop production. Admiral, recently released as a proposed replacement, is considered to have a less harsh, more pleasing bitterness.",1,,17,55,45,
3.5,5,3.5,10,6,hop,29,23,DE,GERMANY,DE,"Universally recognized as a noble hop, Tettnanger is the landrace of Germany's Tettnang hop-growing region. Only Tettnanger hops grown in the Tettnang should be referred to as Tettnang Tettnanger. It is prized for its spicy, floral noble character, and is genetically very similar, if not identical, to the Saaz cultivar grown in the Czech Republic. Hops described as ""Tettnanger"" are also grown in the United States, Switzerland, and Australia, but these American Tettnanger, Swiss Tettnanger, and Australian Tettnanger hops are generally not be the true Tettnanger cultivar, but are thought to be Fuggle or a descendant of Fuggle. Since ""Tettnanger"" cultivation is traditional in Switzerland, it is most likely that these Swiss ""Tettnanger"" were never Tettnanger hops to begin with, but that rhizomes were exported under that name. In recent years, a few growers have tried growing true Tettnanger hops in the United States, but because of the confusion of names, these are almost impossible to find or identify.",16,12,20,25,20,
4,4,3,7,6,hop,25,20,US,UNITED STATES,US,"American hops sold as Tettnanger hops often claim to be the same cultivar as the famous German aroma hop Tettnang Tettnanger. However, in recent years, it has been discovered that these hops are genetically distinct from the German landrace and in fact are most likely Fuggle or a closely related hop. The most likely explanation is that American hop growers imported the so-called Swiss Tettnanger hops, which may also have been Fuggle hops misrepresented as Tettnanger for marketing purposes. In recent years, a few growers have tried growing true Tettnanger hops in the United States, but because of the confusion of names, these are almost impossible to find or identify.",8,5,18,45,36,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
4.5,4.7,3.6,15,10,hop,30,25,US,UNITED STATES,US,"A triploid released in 1983 as part of a program attempting to develop an American substitute for European aroma hops, Ultra was derived from a tetraploid Hallertauer and a Saaz-type hop. Sister hops from the same program include Liberty, Crystal, and Mount Hood. Unlike its half-sisters, which tend to resemble Hallertauer and other German hops, Ultra retains a Saaz-like character and is recommended as a domestic substitute for Saaz in Bohemian pilsener and other lagers where Saaz is characteristic.",1,,30,35,25,
5,7,5,15,10,hop,20,14,US,UNITED STATES,US,"Vanguard is a low-cohumulone diploid American aroma hop derived from a Hallertauer Mittelfruh descendant. Al Korzonas describes it as ""a rather herbal Hallertauer or a slightly buttery Tettnanger.""",0.5,0.5,43,25,20,
,,,,,hop,,,,,,,,,,,,
16,9,7,2.6,2.6,hop,24,22,NZ,NEW ZEALAND,NZ,Released in 2012 from the New Zealand Plant and Food Research Hop Breeding program in Riwaka.,5,5,9.5,60,60,
,,,,,hop,,,,,,,,,,,,
15,5.5,4.5,10,8,hop,24,24,US,UNITED STATES,US,"Released in 2000, Warrior is an open pollinated very high alpha acid bittering hop variety with an American grapefruit citrus character. It is a proprietary hop, and the name ""Warrior"" is a registered trademark of Yakima Chief Ranches, LLC.",1,,15,50,40,
5,3.3,2,14,12,hop,43,25,GB,UNITED KINGDOM,GB,"Variously known as Whitbread Goldings Variety, Whitbread Golding Variety, Whitbread's Golding, or simply W.G.V., this hop is not a true Golding hop variety, but a seedling of Bate's Brewer. W.G.V. provides a distinctive sweet fruit flavour in beers, similar to, but generally more pronounced and robust than, Goldings. It gives a mild, clean bitterness in traditional ales, and is sometimes used with good effect as a distinctive dry hop with a fruity, mild and clean flavor. Used perhaps still in Archer's Bitters, Bellhaven's ale, and Young's.",3,1,39,27,21,
4,4.5,3,8,7,hop,35,30,US,UNITED STATES,US,"Released from the U.S.D.A. hop breeding program in 1976, Willamette is a triploid (some sources say tetraploid) seedling of Fuggle bred to be easier to grow in the United States. It's still less vigorous than most modern hop varieties, but easier to grow in most areas than the very fussy Fuggle. Willamette has a mild, grassy, floral and slightly spicy aroma similar to Fuggle, and is often used as a substitute, especially in the United States where Fuggle does not grow well. Willamette is extensively planted in the U.S. Pacific Northwest.",6,5,20,55,30,
,,,,,hop,,,,,,,,,,,,
5.5,5.5,4.5,7,6,hop,42,36,US,UNITED STATES,US,"Yakima Cluster was derived from Late Cluster, which in turn was derived from Pacific Coast Cluster. One of several other Cluster hop varieties often sold simply as ""Cluster."" ""Yakima"" is part of the name of this cultivar, and not simply an indication of the growing region.",1,,18,55,45,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
12,6.5,4,15,5,hop,40,27,US,UNITED STATES,US,"A very high alpha acid bittering hop from Washington state, a sister to Sun most likely derived from Northern Brewer. Reportedly has an intense character. Zeus is a proprietary hop controlled by S.S. Steiner, Inc.",1,,10,70,25,
,,,,,hop,,,,,,,,,,,,
