"X","ColID","Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
233,"225","Arcadia London Porter","MI, USA","Smoked Ale","7.20%","3.850 (19)",3.85,19,"MI","michigan"
235,"226","Ale Asylum Mercy Belgian Grand Cru","WI, USA","Belgian Strong Ale","9.50%","3.850 (9)",3.85,9,"WI","wisconsin"
236,"227","AleSmith The Shit Speedway Stout","CA, USA","Imperial Stout","12%","3.850 (3)",3.85,3,"CA","california"
237,"228","North Coast Old Rasputin XV","CA, USA","Imperial Stout","11.90%","3.850 (3)",3.85,3,"CA","california"
238,"229","Smuttynose Robust Porter","NH, USA","Porter","5.70%","3.846 (43)",3.846,43,"NH","new hampshire"
239,"230","Pizza Port SPF 8 Farmhouse Ale","CA, USA","Saison","8.75%","3.846 (10)",3.846,10,"CA","california"
240,"231","Dogfish Head Burton Baton","DE, USA","Imperial IPA","10%","3.845 (49)",3.845,49,"DE","delaware"
241,"232","Goose Island Lolita","IL, USA","Wild Ale","7%","3.845 (8)",3.845,8,"IL","illinois"
242,"233","Midnight Sun Arctic Devil Barley Wine","AK, USA","English Barleywine","11.50%","3.845 (8)",3.845,8,"AK","alaska"
243,"234","Bells Special Double Cream Stout","MI, USA","Stout","6.10%","3.844 (61)",3.844,61,"MI","michigan"
244,"235","Founders Reds Rye","MI, USA","Rye Beer","6.60%","3.844 (43)",3.844,43,"MI","michigan"
245,"236","Goose Island Sofie","IL, USA","Saison","6.50%","3.844 (24)",3.844,24,"IL","illinois"
246,"237","Bells Batch 6000","MI, USA","American Barleywine","10.50%","3.844 (15)",3.844,15,"MI","michigan"
247,"238","Port Brewing Santas Little Helper","CA, USA","Imperial Stout","10.50%","3.842 (30)",3.842,30,"CA","california"
248,"239","Ramstein Winter Wheat","NJ, USA","Weizenbock","9.50%","3.842 (16)",3.842,16,"NJ","new jersey"
249,"240","North Coast Old Stock Ale","CA, USA","English Barleywine","13.25%","3.841 (70)",3.841,70,"CA","california"
250,"241","Full Sail Old Boardhead Barleywine","OR, USA","American Barleywine","9%","3.841 (34)",3.841,34,"OR","oregon"
251,"242","Russian River Toronado 20th Anniversary","CA, USA","Belgian Strong Ale","10.40%","3.840 (7)",3.84,7,"CA","california"
252,"243","Pelican Mother of all Storms","OR, USA","English Barleywine","13.50%","3.840 (7)",3.84,7,"OR","oregon"
253,"244","Dark Horse Plead the 5th","MI, USA","Imperial Stout","12%","3.839 (15)",3.839,15,"MI","michigan"
254,"245","Sierra Nevada Estate Homegrown Ale","CA, USA","IPA","6.70%","3.838 (13)",3.838,13,"CA","california"
255,"246","He'Brew Genesis 15:15","CA, USA","American Barleywine","13.40%","3.838 (5)",3.838,5,"CA","california"
256,"247","Odell Friek","CO, USA","Flanders Red","5.50%","3.838 (5)",3.838,5,"CO","colorado"
257,"248","Pisgah Valdez Coffee Stout","NC, USA","Coffee Stout","6.80%","3.837 (5)",3.837,5,"NC","north carolina"
258,"249","Weyerbacher Heresy","PA, USA","Imperial Stout","8.20%","3.836 (33)",3.836,33,"PA","pennsylvania"
259,"250","Stone 12th Anniversary Bitter Chocolate Oatmeal Stout","CA, USA","Imperial Stout","9.20%","3.836 (25)",3.836,25,"CA","california"
261,"251","Hoppin' Frog Mean Manalishi","OH, USA","Imperial IPA","8.20%","3.836 (19)",3.836,19,"OH","ohio"
262,"252","Free State Old Backus Barleywine","KS, USA","American Barleywine","10.50%","3.836 (11)",3.836,11,"KS","kansas"
263,"253","Rogue Double Chocolate Stout","OR, USA","Imperial Stout","8%","3.836 (11)",3.836,11,"OR","oregon"
264,"254","Uinta Crooked Line Labyrinth Black Ale","UT, USA","Imperial Porter","13.20%","3.836 (8)",3.836,8,"UT","utah"
265,"255","Schlafly Imperial Stout","MO, USA","Imperial Stout","8.90%","3.836 (8)",3.836,8,"MO","missouri"
266,"256","Anderson Valley Barney Flats Oatmeal Stout","CA, USA","Oatmeal Stout","5.70%","3.835 (77)",3.835,77,"CA","california"
267,"257","Oskar Blues Deviant Dales","CO, USA","Imperial IPA","8%","3.835 (17)",3.835,17,"CO","colorado"
268,"258","Great Divide Titan IPA","CO, USA","IPA","6.80%","3.834 (62)",3.834,62,"CO","colorado"
269,"259","Russian River Salvation","CA, USA","Belgian Strong Ale","9%","3.833 (27)",3.833,27,"CA","california"
270,"260","New Glarus Dancing Man Wheat","WI, USA","Hefeweizen","7.20%","3.833 (15)",3.833,15,"WI","wisconsin"
271,"261","Green Flash Palate Wrecker Double IPA","CA, USA","Imperial IPA","9.20%","3.833 (15)",3.833,15,"CA","california"
272,"262","Dogfish Head Raison D'Extra","DE, USA","American Barleywine","18%","3.832 (31)",3.832,31,"DE","delaware"
273,"263","Russian River Sanctification","CA, USA","Belgian Ale","6.25%","3.832 (16)",3.832,16,"CA","california"
274,"264","Southern Tier Warlock","NY, USA","Imperial Stout","8.60%","3.831 (13)",3.831,13,"NY","new york"
275,"265","Stone 02.02.02 Vertical Epic Ale","CA, USA","Belgian Strong Ale","7.50%","3.831 (10)",3.831,10,"CA","california"
276,"266","Southern Tier Un*Earthly Imperial IPA","NY, USA","Imperial IPA","11%","3.830 (42)",3.83,42,"NY","new york"
277,"267","Founders Black Rye","MI, USA","Rye Beer","7.50%","3.830 (17)",3.83,17,"MI","michigan"
278,"268","Goose Island Imperial IPA","IL, USA","Imperial IPA","9%","3.830 (17)",3.83,17,"IL","illinois"
279,"269","Iron Hill Kriek de Hill","DE, USA","Fruit Lambic","5.20%","3.830 (7)",3.83,7,"DE","delaware"
280,"270","OFallon Smoked Porter","MO, USA","Smoked Ale","6%","3.829 (32)",3.829,32,"MO","missouri"
281,"271","Cigar City Humidor Series Cedar Aged Jai Alai IPA","FL, USA","IPA","7.50%","3.829 (11)",3.829,11,"FL","florida"
282,"272","FiftyFifty Imperial Eclipse Stout","CA, USA","Imperial Stout","9.50%","3.829 (4)",3.829,4,"CA","california"
283,"273","COOP Territorial Reserve Oak Aged Imperial Stout","OK, USA","Imperial Stout","9%","3.829 (4)",3.829,4,"OK","oklahoma"
284,"274","AleSmith Horny Devil","CA, USA","Belgian Strong Ale","11%","3.827 (42)",3.827,42,"CA","california"
285,"275","Boulevard Two Jokers Double Wit","MO, USA","Witbier","8%","3.827 (8)",3.827,8,"MO","missouri"
287,"276","Full Sail Imperial Porter Bourbon Barrel Aged","OR, USA","Imperial Porter","7.20%","3.827 (8)",3.827,8,"OR","oregon"
288,"277","Dogfish Head Raison D'Etre","DE, USA","Belgian Strong Ale","8%","3.826 (95)",3.826,95,"DE","delaware"
289,"278","Yazoo Sue","TN, USA","Smoked Ale","9%","3.826 (16)",3.826,16,"TN","tennessee"
290,"279","Lagunitas Olde Gnarly Wine","CA, USA","American Barleywine","11%","3.825 (37)",3.825,37,"CA","california"
291,"280","Portsmouth Kate the Great Russian Imperial Stout","NH, USA","Imperial Stout","9.50%","3.825 (5)",3.825,5,"NH","new hampshire"
292,"281","Green Flash Road Warrior","CA, USA","Imperial IPA","9%","3.825 (5)",3.825,5,"CA","california"
293,"282","Pelican India Pelican Ale","OR, USA","IPA","7.50%","3.824 (18)",3.824,18,"OR","oregon"
294,"283","Anchor Old Foghorn Ale","CA, USA","American Barleywine","10%","3.823 (74)",3.823,74,"CA","california"
295,"284","Boulevard Double Wide IPA","MO, USA","Imperial IPA","8.50%","3.822 (34)",3.822,34,"MO","missouri"
296,"285","Stone 5th Anniversary IPA","CA, USA","Imperial IPA","8.50%","3.822 (15)",3.822,15,"CA","california"
297,"286","Stone 7th Anniversary Ale","CA, USA","American Pale Ale","7.70%","3.821 (16)",3.821,16,"CA","california"
298,"287","Alpine Beer Company Duet","CA, USA","IPA","7%","3.821 (11)",3.821,11,"CA","california"
299,"288","Left Hand 10th Anniversary Oak Aged Imperial Stout","CO, USA","Imperial Stout","10%","3.821 (11)",3.821,11,"CO","colorado"
300,"289","Southampton Saison","NY, USA","Saison","6.50%","3.820 (12)",3.82,12,"NY","new york"
301,"290","Brooklyn Local 1","NY, USA","Belgian Strong Ale","9%","3.819 (40)",3.819,40,"NY","new york"
302,"291","Southern Tier Oat (Imperial Oatmeal Stout)","NY, USA","Imperial Stout","12.50%","3.819 (23)",3.819,23,"NY","new york"
303,"292","Heavy Seas Big DIPA","MD, USA","Imperial IPA","10.60%","3.818 (8)",3.818,8,"MD","maryland"
304,"293","Deschutes Fresh Squeezed IPA","OR, USA","IPA","6%","3.818 (8)",3.818,8,"OR","oregon"
305,"294","Smuttynose Finestkind IPA","NH, USA","IPA","6.90%","3.817 (51)",3.817,51,"NH","new hampshire"
306,"295","Widmer Brothers Nelson Imperial IPA","OR, USA","Imperial IPA","8.60%","3.817 (15)",3.817,15,"OR","oregon"
307,"296","Founders Blushing Monk","MI, USA","Fruit Beer","12.30%","3.817 (9)",3.817,9,"MI","michigan"
308,"297","The Bruery Oude Tart","CA, USA","Flanders Red","7.50%","3.817 (9)",3.817,9,"CA","california"
309,"298","The Bruery White Chocolate","CA, USA","Strong Ale","14%","3.817 (3)",3.817,3,"CA","california"
310,"299","Bear Republic Red Rocket Ale","CA, USA","Strong Ale","6.80%","3.816 (54)",3.816,54,"CA","california"
311,"300","Cigar City Big Sound Scotch Ale","FL, USA","Scottish Ale","8.50%","3.815 (10)",3.815,10,"FL","florida"
313,"301","Widmer Brothers Raspberry Russian Imperial Stout '12","OR, USA","Imperial Stout","9.30%","3.814 (4)",3.814,4,"OR","oregon"
314,"302","Stone RuinTen IPA","CA, USA","Imperial IPA","10.80%","3.813 (13)",3.813,13,"CA","california"
315,"303","Ken Schmidt / Maui / Stone Kona Coffee Macadamia Coconut Porter","CA, USA","Imperial Porter","8.50%","3.813 (5)",3.813,5,"CA","california"
316,"304","Uinta Dubhe Imperial Black IPA","UT, USA","American Black Ale","9.20%","3.810 (18)",3.81,18,"UT","utah"
317,"305","Stone Espresso Imperial Russian Stout","CA, USA","Imperial Stout","11%","3.810 (7)",3.81,7,"CA","california"
318,"306","Anchor Our Special Ale 2006","CA, USA","Spiced Beer","5.50%","3.809 (20)",3.809,20,"CA","california"
319,"307","Squatters Outer Darkness","UT, USA","Imperial Stout","10.50%","3.809 (8)",3.809,8,"UT","utah"
320,"308","Half Acre Daisy Cutter Pale Ale","IL, USA","American Pale Ale","5.20%","3.809 (8)",3.809,8,"IL","illinois"
321,"309","Ballast Point Grapefruit Sculpin","CA, USA","IPA","7%","3.809 (8)",3.809,8,"CA","california"
322,"310","Allagash Tripel Reserve","ME, USA","Abbey Tripel","9%","3.808 (49)",3.808,49,"ME","maine"
323,"311","Weyerbacher Insanity","PA, USA","English Barleywine","11%","3.808 (35)",3.808,35,"PA","pennsylvania"
324,"312","Founders Backwoods Bastard","MI, USA","Scottish Ale","10.20%","3.808 (23)",3.808,23,"MI","michigan"
325,"313","Central Waters Kosmyk Charlie's Y2K Catastrophe Ale","WI, USA","American Barleywine","10%","3.808 (10)",3.808,10,"WI","wisconsin"
326,"314","Deschutes Black Butte XXIII","OR, USA","Imperial Porter","11%","3.808 (9)",3.808,9,"OR","oregon"
327,"315","Surly Coffee Bender","MN, USA","Brown Ale","5.50%","3.807 (13)",3.807,13,"MN","minnesota"
328,"316","Troegs Nugget Nectar Ale","PA, USA","IPA","7.50%","3.805 (35)",3.805,35,"PA","pennsylvania"
329,"317","Tyranena Hop Whore Imperial India Pale Ale","WI, USA","Imperial IPA","-","3.805 (19)",3.805,19,"WI","wisconsin"
330,"318","Hair of the Dog Blue Dot Imperial IPA","OR, USA","Imperial IPA","7%","3.804 (25)",3.804,25,"OR","oregon"
331,"319","New Glarus Apple Ale","WI, USA","Fruit Beer","3.80%","3.804 (25)",3.804,25,"WI","wisconsin"
332,"320","Bells Java Stout","MI, USA","Coffee Stout","7.50%","3.802 (46)",3.802,46,"MI","michigan"
333,"321","Great Divide Hibernation Ale","CO, USA","Strong Ale","8.10%","3.802 (42)",3.802,42,"CO","colorado"
334,"322","Founders Double Trouble Imperial IPA","MI, USA","Imperial IPA","9.40%","3.800 (27)",3.8,27,"MI","michigan"
335,"323","New Glarus Unplugged Enigma","WI, USA","Wild Ale","7%","3.800 (23)",3.8,23,"WI","wisconsin"
336,"324","New Glarus Road Slush Stout","WI, USA","Oatmeal Stout","5.20%","3.800 (21)",3.8,21,"WI","wisconsin"
337,"325","Deschutes Bond Street Hop Henge Experimental IPA","OR, USA","Imperial IPA","8.75%","3.800 (11)",3.8,11,"OR","oregon"
339,"351","Bells Porter","MI, USA","Porter","6%","3.787 (50)",3.787,50,"MI","michigan"
340,"352","Great Divide 15th Anniversary Wood Aged Double IPA","CO, USA","Imperial IPA","10%","3.787 (12)",3.787,12,"CO","colorado"
341,"353","Odell Myrcenary Double IPA","CO, USA","Imperial IPA","9.30%","3.786 (11)",3.786,11,"CO","colorado"
342,"354","Deschutes Jubel 2010","OR, USA","Strong Ale","10%","3.786 (11)",3.786,11,"OR","oregon"
343,"355","Surly Wet","MN, USA","IPA","7.50%","3.786 (4)",3.786,4,"MN","minnesota"
344,"356","Sly Fox Prometheus","PA, USA","Smoked Ale","8.30%","3.786 (4)",3.786,4,"PA","pennsylvania"
345,"357","Samuel Adams Imperial Series Wee Heavy","MA, USA","Scottish Ale","10%","3.785 (10)",3.785,10,"MA","massachusetts"
346,"358","Clown Shoes Hoppy Feet","MA, USA","American Black Ale","7%","3.785 (10)",3.785,10,"MA","massachusetts"
347,"359","Lagunitas Hairy Eyeball Ale","CA, USA","English Strong Ale","9%","3.783 (43)",3.783,43,"CA","california"
348,"360","Lagunitas Little Sumpin Extra Ale","CA, USA","Imperial IPA","8.74%","3.783 (15)",3.783,15,"CA","california"
349,"361","Hair of the Dog Cherry Adam from the Wood","OR, USA","Strong Ale","10%","3.783 (9)",3.783,9,"OR","oregon"
350,"362","Three Floyds Oak Aged Dark Lord","IN, USA","Imperial Stout","14%","3.783 (3)",3.783,3,"IN","indiana"
351,"363","Prairie Artisan Ales Pirate Bomb","OK, USA","Imperial Stout","14%","3.783 (3)",3.783,3,"OK","oklahoma"
352,"364","Rogue Saint Rogue Red Ale","OR, USA","Amber Ale","5.20%","3.782 (54)",3.782,54,"OR","oregon"
353,"365","New Belgium Ranger IPA","CO, USA","IPA","7%","3.782 (34)",3.782,34,"CO","colorado"
354,"366","Magic Hat Thumbsucker","VT, USA","Imperial Stout","7.80%","3.782 (8)",3.782,8,"VT","vermont"
355,"367","Green Flash Green Bullet","CA, USA","Imperial IPA","10.10%","3.782 (8)",3.782,8,"CA","california"
356,"368","New Belgium Abbey Belgian Style Ale","CO, USA","Abbey Dubbel","7%","3.781 (51)",3.781,51,"CO","colorado"
357,"369","Southampton Imperial Porter","NY, USA","Baltic Porter","7.20%","3.781 (28)",3.781,28,"NY","new york"
358,"370","Lagunitas Kill Ugly Radio","CA, USA","IPA","7.80%","3.781 (23)",3.781,23,"CA","california"
359,"371","Clown Shoes Vampire Slayer","MA, USA","Imperial Stout","11%","3.780 (12)",3.78,12,"MA","massachusetts"
360,"372","Boulevard Bully! Porter","MO, USA","Porter","5.20%","3.779 (53)",3.779,53,"MO","missouri"
361,"373","Victory Moonglow","PA, USA","Weizenbock","8.70%","3.779 (31)",3.779,31,"PA","pennsylvania"
362,"374","Clown Shoes Blaecorn Unidragon","MA, USA","Imperial Stout","12.50%","3.779 (11)",3.779,11,"MA","massachusetts"
363,"375","Green Flash Imperial IPA","CA, USA","Imperial IPA","9.40%","3.778 (30)",3.778,30,"CA","california"
365,"376","Port Brewing Wipeout IPA","CA, USA","IPA","7%","3.778 (29)",3.778,29,"CA","california"
366,"377","Laughing Dog Sneaky Pete Imperial IPA","ID, USA","Imperial IPA","10%","3.778 (15)",3.778,15,"ID","idaho"
367,"378","Lost Abbey Lost and Found","CA, USA","Abbey Dubbel","8%","3.778 (15)",3.778,15,"CA","california"
368,"379","Founders Centennial IPA","MI, USA","IPA","7.20%","3.775 (41)",3.775,41,"MI","michigan"
369,"380","North Coast Old Rasputin XII","CA, USA","Imperial Stout","11.20%","3.775 (9)",3.775,9,"CA","california"
370,"381","Stone 17th Anniversary Götterdämmerung IPA","CA, USA","Imperial IPA","9.50%","3.775 (9)",3.775,9,"CA","california"
371,"382","AleSmith Decadence 2009","CA, USA","Weizenbock","9%","3.775 (5)",3.775,5,"CA","california"
372,"383","5 Seasons Delerium Dubbel","GA, USA","Abbey Dubbel","5.90%","3.775 (5)",3.775,5,"GA","georgia"
373,"384","Great Divide Oatmeal Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","3.775 (5)",3.775,5,"CO","colorado"
374,"385","Victory Hop Wallop","PA, USA","Imperial IPA","8.50%","3.773 (65)",3.773,65,"PA","pennsylvania"
375,"386","Firestone Walker 13","CA, USA","Strong Ale","11%","3.773 (8)",3.773,8,"CA","california"
376,"387","Tuppers Hop Pocket Ale","VA, USA","American Pale Ale","5%","3.772 (38)",3.772,38,"VA","virginia"
377,"388","Brooklyner-Schneider Hopfen-Weisse","NY, USA","Weizenbock","7.80%","3.771 (14)",3.771,14,"NY","new york"
378,"389","Stone Lukcy Basartd Ale","CA, USA","Strong Ale","8.50%","3.771 (14)",3.771,14,"CA","california"
379,"390","Ninkasi Oatis Oatmeal Stout","OR, USA","Oatmeal Stout","7.20%","3.771 (11)",3.771,11,"OR","oregon"
380,"391","New Glarus Unplugged Cran-bic","WI, USA","Fruit Lambic","6%","3.771 (11)",3.771,11,"WI","wisconsin"
381,"392","Stoudts Barrel Aged Fat Dog Stout","PA, USA","Imperial Stout","9%","3.771 (4)",3.771,4,"PA","pennsylvania"
382,"393","Kuhnhenn Fourth Dementia Old Ale","MI, USA","Old Ale","11%","3.770 (17)",3.77,17,"MI","michigan"
383,"394","Heavy Seas Siren Noire 2013","MD, USA","Imperial Stout","9.50%","3.770 (7)",3.77,7,"MD","maryland"
384,"395","The Bruery Cuir","CA, USA","Old Ale","14.50%","3.770 (7)",3.77,7,"CA","california"
385,"396","Pizza Port SPF 45 Saison","CA, USA","Saison","7%","3.769 (10)",3.769,10,"CA","california"
386,"397","Dogfish Head 60 Minute IPA","DE, USA","IPA","6%","3.768 (128)",3.768,128,"DE","delaware"
387,"398","Jolly Pumpkin / Nøgne Ø / Stone Special Holiday Ale","CA, USA","Spiced Beer","9%","3.767 (18)",3.767,18,"CA","california"
388,"399","Schlafly Reserve Oak-Aged Barleywine","MO, USA","English Barleywine","10.20%","3.767 (15)",3.767,15,"MO","missouri"
389,"400","21st Amendment Hop Crisis","CA, USA","Imperial IPA","11.80%","3.767 (9)",3.767,9,"CA","california"
391,"401","Avery Rumpkin","CO, USA","Spiced Beer","13.20%","3.767 (6)",3.767,6,"CO","colorado"
392,"402","Triumph Roggenbock","NJ, USA","Bock","7%","3.767 (3)",3.767,3,"NJ","new jersey"
393,"403","Victory Golden Monkey","PA, USA","Abbey Tripel","9.50%","3.765 (82)",3.765,82,"PA","pennsylvania"
394,"404","Rogue Morimoto Imperial Pilsner","OR, USA","Imperial Pilsener","8.80%","3.765 (43)",3.765,43,"OR","oregon"
395,"405","Allagash Black","ME, USA","Foreign / Extra Stout","7.50%","3.765 (23)",3.765,23,"ME","maine"
396,"406","Anchor Our Special Ale 2008","CA, USA","Spiced Beer","5.50%","3.765 (18)",3.765,18,"CA","california"
397,"407","Dark Horse Special Reserve Black Bier","MI, USA","Stout","7.50%","3.764 (22)",3.764,22,"MI","michigan"
398,"408","Russian River Redemption","CA, USA","Belgian Ale","4.60%","3.764 (19)",3.764,19,"CA","california"
399,"409","Buckeye Seventy-Six","OH, USA","Imperial IPA","7.90%","3.764 (11)",3.764,11,"OH","ohio"
400,"410","New Belgium Lips of Faith Super India Pale Ale","CO, USA","Imperial IPA","9%","3.764 (8)",3.764,8,"CO","colorado"
401,"411","Boulevard Dark Truth Stout","MO, USA","Imperial Stout","9.70%","3.763 (17)",3.763,17,"MO","missouri"
402,"412","Southampton Cuvee des Fleurs","NY, USA","Saison","7.70%","3.763 (13)",3.763,13,"NY","new york"
403,"413","Ken Schmidt / Iron Fist / Stone Mint Chocolate Imperial Stout","CA, USA","Imperial Stout","9.60%","3.763 (5)",3.763,5,"CA","california"
404,"414","Bells Batch 8000","MI, USA","Witbier","9%","3.762 (19)",3.762,19,"MI","michigan"
405,"415","He'Brew Jewbelation Eleven","CA, USA","Strong Ale","11%","3.762 (18)",3.762,18,"CA","california"
406,"416","Arcadia Imperial Stout","MI, USA","Imperial Stout","8.40%","3.762 (18)",3.762,18,"MI","michigan"
407,"417","Ale Asylum Hopalicious","WI, USA","American Pale Ale","5.80%","3.762 (13)",3.762,13,"WI","wisconsin"
408,"418","Jekyll Brewing Hop Dang Diggity","GA, USA","IPA","6.70%","3.762 (5)",3.762,5,"GA","georgia"
409,"419","Great Lakes Eliot Ness Amber Lager","OH, USA","Vienna / Amber Lager","6.20%","3.761 (43)",3.761,43,"OH","ohio"
410,"420","Southampton Grand Cru Strong Ale","NY, USA","Belgian Strong Ale","9.50%","3.761 (20)",3.761,20,"NY","new york"
411,"421","Ommegang Brasserie D'Achouffe Gnomegang","NY, USA","Belgian Ale","9.50%","3.761 (15)",3.761,15,"NY","new york"
412,"422","Three Floyds Gumballhead","IN, USA","American Wheat","4.80%","3.760 (44)",3.76,44,"IN","indiana"
413,"423","Southern Tier Pumking","NY, USA","Spiced Beer","9%","3.760 (40)",3.76,40,"NY","new york"
414,"424","Oskar Blues Gubna","CO, USA","Imperial IPA","10%","3.760 (22)",3.76,22,"CO","colorado"
415,"425","Odell India Pale Ale","CO, USA","IPA","7%","3.759 (19)",3.759,19,"CO","colorado"
417,"426","Victory Hop Devil","PA, USA","IPA","6.70%","3.758 (98)",3.758,98,"PA","pennsylvania"
418,"427","Sixpoint Resin","NY, USA","Imperial IPA","9.10%","3.758 (16)",3.758,16,"NY","new york"
419,"428","Central Waters Brewhouse Coffee Stout","WI, USA","Coffee Stout","-","3.758 (9)",3.758,9,"WI","wisconsin"
420,"429","Sierra Nevada 30th Anniversary Jack & Ken's Ale","CA, USA","American Barleywine","10.20%","3.757 (18)",3.757,18,"CA","california"
421,"430","Tyranena Dirty Old Man","WI, USA","Imperial Porter","7.90%","3.757 (18)",3.757,18,"WI","wisconsin"
422,"431","The Bruery Melange #3","CA, USA","Strong Ale","15.50%","3.757 (4)",3.757,4,"CA","california"
423,"432","Hoppin' Frog Hop Masters Abbey Belgian-Style Double IPA","OH, USA","Imperial IPA","8.50%","3.757 (4)",3.757,4,"OH","ohio"
424,"433","Oskar Blues Dales Pale Ale","CO, USA","American Pale Ale","6.50%","3.756 (70)",3.756,70,"CO","colorado"
425,"434","Green Flash West Coast IPA","CA, USA","IPA","7.30%","3.756 (52)",3.756,52,"CA","california"
426,"435","Lost Coast Indica India Pale Ale","CA, USA","IPA","6.50%","3.756 (47)",3.756,47,"CA","california"
427,"436","Deschutes Jubelale","OR, USA","English Strong Ale","6.70%","3.756 (37)",3.756,37,"OR","oregon"
428,"437","Anchor Our Special Ale 2007","CA, USA","Spiced Beer","5.50%","3.756 (22)",3.756,22,"CA","california"
429,"438","Avery Ale to the Chief","CO, USA","American Pale Ale","8.75%","3.756 (22)",3.756,22,"CO","colorado"
430,"439","Stone 16th Anniversary IPA","CA, USA","Imperial IPA","10%","3.756 (13)",3.756,13,"CA","california"
431,"440","Marshall Big Jamoke Porter","OK, USA","Porter","6.80%","3.756 (7)",3.756,7,"OK","oklahoma"
432,"441","Bells Bourbon Barrel Aged Cherry Stout","MI, USA","Fruit Stout","-","3.756 (6)",3.756,6,"MI","michigan"
433,"442","Siletz Wooly Bully","OR, USA","Kellerbier","-","3.755 (8)",3.755,8,"OR","oregon"
434,"443","Lagunitas NightTime IPA","CA, USA","American Black Ale","8.20%","3.755 (8)",3.755,8,"CA","california"
435,"444","Allagash Confluence Ale","ME, USA","Belgian Strong Ale","7.40%","3.754 (10)",3.754,10,"ME","maine"
436,"445","Alpine Beer Company Nelson IPA","CA, USA","IPA","7.10%","3.754 (10)",3.754,10,"CA","california"
437,"446","Samuel Adams Imperial Pilsner","MA, USA","Imperial Pilsener","8.80%","3.753 (42)",3.753,42,"MA","massachusetts"
438,"447","Anchor Our Special Ale 2005","CA, USA","Spiced Beer","5.50%","3.753 (27)",3.753,27,"CA","california"
439,"448","Ommegang BPA Belgian-style Pale Ale","NY, USA","Belgian Ale","6.20%","3.753 (16)",3.753,16,"NY","new york"
440,"449","Dogwood Excellent Adventure","GA, USA","American Barleywine","10%","3.753 (14)",3.753,14,"GA","georgia"
441,"450","21st Amendment 21A-IPA (US-IPA)","CA, USA","IPA","6.70%","3.753 (12)",3.753,12,"CA","california"
443,"451","Ballast Point Dorado Double IPA","CA, USA","Imperial IPA","8.30%","3.752 (22)",3.752,22,"CA","california"
444,"452","Weyerbacher Imperial Pumpkin Ale","PA, USA","Spiced Beer","8%","3.750 (31)",3.75,31,"PA","pennsylvania"
445,"453","Boulevard Tank 7 Farmhouse Ale","MO, USA","Saison","8%","3.750 (21)",3.75,21,"MO","missouri"
446,"454","Port Brewing High Tide Fresh Hop IPA","CA, USA","IPA","6.50%","3.750 (19)",3.75,19,"CA","california"
447,"455","New Glarus Unplugged Cherry Stout","WI, USA","Fruit Stout","6.50%","3.750 (19)",3.75,19,"WI","wisconsin"
448,"456","Samuel Adams New World Tripel (Barrel Room Collection)","MA, USA","Abbey Tripel","10%","3.750 (13)",3.75,13,"MA","massachusetts"
449,"457","Widmer Brothers Reserve Barrel Aged Brrrbon","OR, USA","Strong Ale","9.40%","3.750 (11)",3.75,11,"OR","oregon"
450,"458","Live Oak Hefe Weizen","TX, USA","Hefeweizen","-","3.750 (10)",3.75,10,"TX","texas"
451,"459","Avery Eleven","CO, USA","Imperial IPA","9%","3.750 (9)",3.75,9,"CO","colorado"
452,"460","Hangtown Vanilla Stout","CA, USA","Stout","7.20%","3.750 (6)",3.75,6,"CA","california"
453,"461","Epic Imperial Stout","UT, USA","Imperial Stout","9.10%","3.750 (5)",3.75,5,"UT","utah"
454,"462","Founders Frangelic Mountain Brown","MI, USA","Brown Ale","9.60%","3.750 (5)",3.75,5,"MI","michigan"
455,"463","Russian River Deviation (Bottleworks IX)","CA, USA","Belgian Ale","6.83%","3.750 (3)",3.75,3,"CA","california"
456,"464","Livery Wheat Trippelbock","MI, USA","Weizenbock","13%","3.750 (3)",3.75,3,"MI","michigan"
457,"465","Red Brick 20th Anniversary","GA, USA","Imperial Stout","10%","3.750 (3)",3.75,3,"GA","georgia"
458,"466","Moylan's Hopsickle Imperial Ale - Triple Hoppy","CA, USA","Imperial IPA","9.20%","3.749 (33)",3.749,33,"CA","california"
459,"467","Sierra Nevada Southern Hemisphere Harvest Ale","CA, USA","IPA","6.50%","3.749 (32)",3.749,32,"CA","california"
460,"468","Stone 13th Anniversary Ale","CA, USA","Strong Ale","9.50%","3.748 (22)",3.748,22,"CA","california"
461,"469","Stone 03.03.03 Vertical Epic Ale","CA, USA","Belgian Strong Ale","9%","3.748 (20)",3.748,20,"CA","california"
462,"470","Founders Dirty Bastard Scotch Ale","MI, USA","Scottish Ale","8.50%","3.747 (58)",3.747,58,"MI","michigan"
463,"471","Allagash Four","ME, USA","Abbey Quadrupel","10%","3.746 (32)",3.746,32,"ME","maine"
464,"472","Moylan's Ryan Sullivan's Imperial Stout","CA, USA","Imperial Stout","10%","3.746 (25)",3.746,25,"CA","california"
465,"473","Lost Coast 8 Ball Stout","CA, USA","Stout","5.50%","3.744 (43)",3.744,43,"CA","california"
466,"474","Jolly Pumpkin La Roja","MI, USA","Biere de Garde","7.20%","3.744 (36)",3.744,36,"MI","michigan"
467,"475","Fish Tale Anniversary Ale - 10 Squared","WA, USA","Imperial IPA","10%","3.744 (15)",3.744,15,"WA","washington"
